symbol,baseCoin,granularity,profile,lookback_days,bars,trades,win_rate_pct,profit_factor,max_drawdown_pct,net_return_pct,quality_score,last_close,trend_state,last_signal,last_bar_utc
WLDUSDT,WLD,4H,Base TV,365,441,5,80.0,7.1594,-5.6604,38.2493,25.2964,0.3664,SHORT,NONE,2026-03-13T00:00:00+00:00
PIPPINUSDT,PIPPIN,4H,Base TV,365,441,4,100.0,inf,0.0,44.5317,20.0,0.35704,SHORT,NONE,2026-03-13T00:00:00+00:00
AKTUSDT,AKT,4H,Base TV,365,441,4,75.0,7.2205,-6.0,40.8208,18.0512,0.476,LONG,NONE,2026-03-13T00:00:00+00:00
FLUIDUSDT,FLUID,4H,Base TV,365,441,4,75.0,6.854,-6.0,38.0956,17.135,2.266,SHORT,NONE,2026-03-13T00:00:00+00:00
CTCUSDT,CTC,4H,Base TV,365,441,3,100.0,inf,0.0,5.944,15.0,0.1566,LONG,NONE,2026-03-13T00:00:00+00:00
EULUSDT,EUL,4H,Base TV,365,441,3,100.0,inf,0.0,36.4198,15.0,0.936,SHORT,NONE,2026-03-13T00:00:00+00:00
GLMUSDT,GLM,4H,Base TV,365,441,3,100.0,inf,0.0,21.8572,15.0,0.1281,SHORT,NONE,2026-03-13T00:00:00+00:00
TRXUSDT,TRX,4H,Base TV,365,441,3,100.0,inf,0.0,11.2512,15.0,0.29021,LONG,NONE,2026-03-13T00:00:00+00:00
ADAUSDT,ADA,4H,Base TV,365,441,4,75.0,4.6796,-5.6604,20.9903,12.4009,0.2699,LONG,NONE,2026-03-13T00:00:00+00:00
1000RATSUSDT,1000RATS,4H,Base TV,365,441,2,100.0,inf,0.0,30.1498,10.0,0.04994,SHORT,NONE,2026-03-13T00:00:00+00:00
AERGOUSDT,AERGO,4H,Base TV,365,441,2,100.0,inf,0.0,3.8463,10.0,0.05491,LONG,NONE,2026-03-13T00:00:00+00:00
B3USDT,B3,4H,Base TV,365,441,2,100.0,inf,0.0,11.2325,10.0,0.0004045,LONG,NONE,2026-03-13T00:00:00+00:00
BRUSDT,BR,4H,Base TV,365,441,2,100.0,inf,0.0,31.0291,10.0,0.05785,SHORT,NONE,2026-03-13T00:00:00+00:00
CLANKERUSDT,CLANKER,4H,Base TV,365,441,2,100.0,inf,0.0,16.3877,10.0,26.98,SHORT,NONE,2026-03-13T00:00:00+00:00
CHZUSDT,CHZ,4H,Base TV,365,441,2,100.0,inf,0.0,19.4443,10.0,0.03748,LONG,NONE,2026-03-13T00:00:00+00:00
DRIFTUSDT,DRIFT,4H,Base TV,365,441,2,100.0,inf,0.0,19.4443,10.0,0.0815,SHORT,NONE,2026-03-13T00:00:00+00:00
GRASSUSDT,GRASS,4H,Base TV,365,441,2,100.0,inf,0.0,27.435,10.0,0.3698,LONG,NONE,2026-03-13T00:00:00+00:00
HOLOUSDT,HOLO,4H,Base TV,365,441,2,100.0,inf,0.0,14.7322,10.0,0.05886,SHORT,NONE,2026-03-13T00:00:00+00:00
ICPUSDT,ICP,4H,Base TV,365,441,2,100.0,inf,0.0,7.5903,10.0,2.689,LONG,NONE,2026-03-13T00:00:00+00:00
JSTUSDT,JST,4H,Base TV,365,441,2,100.0,inf,0.0,13.2211,10.0,0.05375,LONG,NONE,2026-03-13T00:00:00+00:00
KAITOUSDT,KAITO,4H,Base TV,365,441,2,100.0,inf,0.0,3.9635,10.0,0.3612,SHORT,NONE,2026-03-13T00:00:00+00:00
