symbol,baseCoin,granularity,profile,lookback_days,bars,trades,wins,losses,win_rate_pct,profit_factor,gross_profit_pct,gross_loss_pct,avg_trade_pct,avg_win_pct,avg_loss_pct,expectancy_pct,max_drawdown_pct,net_return_pct,quality_score,last_close,trend_state,last_signal,last_bar_utc
WLDUSDT,WLD,4H,Base TV,365,441,5,4,1,80.0,7.1737,40.6056,-5.6604,6.989,10.1514,-5.6604,6.989,-5.6604,38.3548,25.347,0.366,SHORT,NONE,2026-03-13T00:00:00+00:00
PIPPINUSDT,PIPPIN,4H,Base TV,365,441,4,4,0,100.0,inf,39.2655,0.0,9.8164,9.8164,0.0,9.8164,0.0,44.5317,20.0,0.35781,SHORT,NONE,2026-03-13T00:00:00+00:00
AKTUSDT,AKT,4H,Base TV,365,441,4,3,1,75.0,7.2205,43.3232,-6.0,9.3308,14.4411,-6.0,9.3308,-6.0,40.8208,18.0512,0.4751,LONG,NONE,2026-03-13T00:00:00+00:00
FLUIDUSDT,FLUID,4H,Base TV,365,441,4,3,1,75.0,6.854,41.1243,-6.0,8.7811,13.7081,-6.0,8.7811,-6.0,38.0956,17.135,2.266,SHORT,NONE,2026-03-13T00:00:00+00:00
CTCUSDT,CTC,4H,Base TV,365,441,3,3,0,100.0,inf,5.8301,0.0,1.9434,1.9434,0.0,1.9434,0.0,5.944,15.0,0.1566,LONG,NONE,2026-03-13T00:00:00+00:00
EULUSDT,EUL,4H,Base TV,365,441,3,3,0,100.0,inf,33.3147,0.0,11.1049,11.1049,0.0,11.1049,0.0,36.4198,15.0,0.94,SHORT,NONE,2026-03-13T00:00:00+00:00
GLMUSDT,GLM,4H,Base TV,365,441,3,3,0,100.0,inf,21.1365,0.0,7.0455,7.0455,0.0,7.0455,0.0,21.8572,15.0,0.1282,SHORT,NONE,2026-03-13T00:00:00+00:00
TRXUSDT,TRX,4H,Base TV,365,441,3,3,0,100.0,inf,10.9165,0.0,3.6388,3.6388,0.0,3.6388,0.0,11.2512,15.0,0.29017,LONG,NONE,2026-03-13T00:00:00+00:00
ADAUSDT,ADA,4H,Base TV,365,441,4,3,1,75.0,4.6796,26.4884,-5.6604,5.207,8.8295,-5.6604,5.207,-5.6604,20.9903,12.4009,0.2706,LONG,NONE,2026-03-13T00:00:00+00:00
1000RATSUSDT,1000RATS,4H,Base TV,365,441,2,2,0,100.0,inf,28.1664,0.0,14.0832,14.0832,0.0,14.0832,0.0,30.1498,10.0,0.04994,SHORT,NONE,2026-03-13T00:00:00+00:00
AERGOUSDT,AERGO,4H,Base TV,365,441,2,2,0,100.0,inf,3.81,0.0,1.905,1.905,0.0,1.905,0.0,3.8463,10.0,0.05491,LONG,NONE,2026-03-13T00:00:00+00:00
B3USDT,B3,4H,Base TV,365,441,2,2,0,100.0,inf,11.0501,0.0,5.525,5.525,0.0,5.525,0.0,11.2325,10.0,0.0004045,LONG,NONE,2026-03-13T00:00:00+00:00
CHZUSDT,CHZ,4H,Base TV,365,441,2,2,0,100.0,inf,19.1164,0.0,9.5582,9.5582,0.0,9.5582,0.0,19.4443,10.0,0.03749,LONG,NONE,2026-03-13T00:00:00+00:00
BRUSDT,BR,4H,Base TV,365,441,2,2,0,100.0,inf,28.9371,0.0,14.4686,14.4686,0.0,14.4686,0.0,31.0291,10.0,0.05793,SHORT,NONE,2026-03-13T00:00:00+00:00
CLANKERUSDT,CLANKER,4H,Base TV,365,441,2,2,0,100.0,inf,16.1033,0.0,8.0516,8.0516,0.0,8.0516,0.0,16.3877,10.0,27.0,SHORT,NONE,2026-03-13T00:00:00+00:00
DRIFTUSDT,DRIFT,4H,Base TV,365,441,2,2,0,100.0,inf,19.1164,0.0,9.5582,9.5582,0.0,9.5582,0.0,19.4443,10.0,0.0815,SHORT,NONE,2026-03-13T00:00:00+00:00
GRASSUSDT,GRASS,4H,Base TV,365,441,2,2,0,100.0,inf,25.7868,0.0,12.8934,12.8934,0.0,12.8934,0.0,27.435,10.0,0.3703,LONG,NONE,2026-03-13T00:00:00+00:00
HOLOUSDT,HOLO,4H,Base TV,365,441,2,2,0,100.0,inf,14.4924,0.0,7.2462,7.2462,0.0,7.2462,0.0,14.7322,10.0,0.05882,SHORT,NONE,2026-03-13T00:00:00+00:00
ICPUSDT,ICP,4H,Base TV,365,441,2,2,0,100.0,inf,7.4801,0.0,3.74,3.74,0.0,3.74,0.0,7.5903,10.0,2.696,LONG,NONE,2026-03-13T00:00:00+00:00
JSTUSDT,JST,4H,Base TV,365,441,2,2,0,100.0,inf,12.8144,0.0,6.4072,6.4072,0.0,6.4072,0.0,13.2211,10.0,0.05385,LONG,NONE,2026-03-13T00:00:00+00:00
KAITOUSDT,KAITO,4H,Base TV,365,441,2,2,0,100.0,inf,3.9251,0.0,1.9625,1.9625,0.0,1.9625,0.0,3.9635,10.0,0.3625,SHORT,NONE,2026-03-13T00:00:00+00:00
NEARUSDT,NEAR,4H,Base TV,365,441,2,2,0,100.0,inf,7.713,0.0,3.8565,3.8565,0.0,3.8565,0.0,7.8361,10.0,1.3899,LONG,NONE,2026-03-13T00:00:00+00:00
NOMUSDT,NOM,4H,Base TV,365,441,2,2,0,100.0,inf,31.2946,0.0,15.6473,15.6473,0.0,15.6473,0.0,33.7186,10.0,0.003475,SHORT,NONE,2026-03-13T00:00:00+00:00
PIUSDT,PI,4H,Base TV,365,441,2,2,0,100.0,inf,3.9251,0.0,1.9625,1.9625,0.0,1.9625,0.0,3.9635,10.0,0.2895,LONG,NONE,2026-03-13T00:00:00+00:00
RESOLVUSDT,RESOLV,4H,Base TV,365,441,2,2,0,100.0,inf,12.525,0.0,6.2625,6.2625,0.0,6.2625,0.0,12.7372,10.0,0.09701,SHORT,NONE,2026-03-13T00:00:00+00:00
STOUSDT,STO,4H,Base TV,365,441,2,2,0,100.0,inf,11.0501,0.0,5.525,5.525,0.0,5.525,0.0,11.2325,10.0,0.06722,LONG,NONE,2026-03-13T00:00:00+00:00
SXTUSDT,SXT,4H,Base TV,365,441,2,2,0,100.0,inf,13.8101,0.0,6.9051,6.9051,0.0,6.9051,0.0,14.2799,10.0,0.0188,LONG,NONE,2026-03-13T00:00:00+00:00
