symbol,baseCoin,granularity,profile,lookback_days,bars,trades,wins,losses,win_rate_pct,profit_factor,gross_profit_pct,gross_loss_pct,avg_trade_pct,avg_win_pct,avg_loss_pct,expectancy_pct,max_drawdown_pct,net_return_pct,quality_score,last_close,trend_state,last_signal,last_bar_utc
VETUSDT,VET,1H,Manual,120,901,5,4,1,80.0,4231.4869,21.6315,-0.0051,4.3253,5.4079,-0.0051,4.3253,-0.0051,23.237,16925.9476,0.007325,LONG,NONE,2026-03-13T02:00:00+00:00
LUMIAUSDT,LUMIA,1H,Manual,120,901,13,12,1,92.3077,343.439,55.3819,-0.1613,4.2477,4.6152,-0.1613,4.2477,-0.1613,70.6949,4121.2683,0.06567,LONG,NONE,2026-03-13T02:00:00+00:00
CFXUSDT,CFX,1H,Manual,120,901,9,8,1,88.8889,327.1602,28.7529,-0.0879,3.185,3.5941,-0.0879,3.185,-0.0879,32.3439,2617.2819,0.05585,LONG,NONE,2026-03-13T02:00:00+00:00
MELANIAUSDT,MELANIA,1H,Manual,120,901,9,8,1,88.8889,212.1029,36.0785,-0.1701,3.9898,4.5098,-0.1701,3.9898,-0.1701,41.7635,1696.8234,0.1105,LONG,NONE,2026-03-13T02:00:00+00:00
ARUSDT,AR,1H,Manual,120,901,7,6,1,85.7143,103.3124,25.5341,-0.2472,3.6124,4.2557,-0.2472,3.6124,-0.2472,27.8872,619.8745,1.883,LONG,NONE,2026-03-13T02:00:00+00:00
JSTUSDT,JST,1H,Manual,120,901,8,6,2,75.0,91.6116,13.2336,-0.1445,1.6361,2.2056,-0.0722,1.6361,-0.1444,13.6468,549.6696,0.05344,LONG,NONE,2026-03-13T02:00:00+00:00
ICXUSDT,ICX,1H,Manual,120,901,7,6,1,85.7143,69.1868,18.15,-0.2623,2.5554,3.025,-0.2623,2.5554,-0.2623,19.2241,415.1209,0.03725,SHORT,NONE,2026-03-13T02:00:00+00:00
CAKEUSDT,CAKE,1H,Manual,120,901,11,9,2,81.8182,42.1162,27.1855,-0.6455,2.4127,3.0206,-0.3227,2.4127,-0.5772,29.5742,379.0459,1.4093,LONG,NONE,2026-03-13T02:00:00+00:00
BREVUSDT,BREV,1H,Manual,120,901,8,7,1,87.5,46.4838,45.2312,-0.9731,5.5323,6.4616,-0.9731,5.5323,-0.9731,53.0518,325.3866,0.1323,LONG,NONE,2026-03-13T02:00:00+00:00
SAFEUSDT,SAFE,1H,Manual,120,901,10,9,1,90.0,34.4642,48.5854,-1.4097,4.7176,5.3984,-1.4097,4.7176,-1.4097,57.3099,310.1778,0.1061,LONG,NONE,2026-03-13T02:00:00+00:00
