symbol,baseCoin,granularity,profile,lookback_days,bars,trades,win_rate_pct,profit_factor,max_drawdown_pct,net_return_pct,quality_score,last_close,trend_state,last_signal,last_bar_utc
WLDUSDT,WLD,4H,Base TV,365,441,5,80.0,7.1951,-5.6604,38.5134,25.4226,0.3654,SHORT,NONE,2026-03-13T00:00:00+00:00
AEROUSDT,AERO,4H,Base TV,365,441,5,60.0,3.0883,-10.4619,22.0099,4.4279,0.3428,SHORT,NONE,2026-03-13T00:00:00+00:00
ZECUSDT,ZEC,4H,Base TV,365,441,5,60.0,1.771,-6.0,7.7946,4.4275,213.83,LONG,NONE,2026-03-13T00:00:00+00:00
ALGOUSDT,ALGO,4H,Base TV,365,441,5,60.0,1.9924,-11.3208,10.851,2.6399,0.0913,LONG,NONE,2026-03-13T00:00:00+00:00
1000CATUSDT,1000CAT,4H,Base TV,365,441,5,60.0,1.9003,-11.3208,9.4608,2.5179,0.00185,LONG,NONE,2026-03-13T00:00:00+00:00
EGLDUSDT,EGLD,4H,Base TV,365,441,6,50.0,1.6887,-11.3208,10.4161,2.2375,4.164,SHORT,NONE,2026-03-13T00:00:00+00:00
XDCUSDT,XDC,4H,Base TV,365,441,7,57.1429,1.3235,-11.9034,4.2288,2.2237,0.03278,SHORT,NONE,2026-03-13T00:00:00+00:00
SIRENUSDT,SIREN,4H,Base TV,365,441,5,60.0,1.2538,-11.64,2.1286,1.6157,0.56609,LONG,NONE,2026-03-13T00:00:00+00:00
ACXUSDT,ACX,4H,Base TV,365,441,5,60.0,1.0459,-10.7705,-0.1993,1.4566,0.04921,LONG,NONE,2026-03-13T00:00:00+00:00
SUNUSDT,SUN,4H,Base TV,365,441,6,33.3333,1.0907,-7.8504,0.2345,1.3894,0.016001,LONG,NONE,2026-03-13T00:00:00+00:00
KAIAUSDT,KAIA,4H,Base TV,365,441,5,40.0,1.1938,-11.1974,1.3089,1.0661,0.05491,LONG,NONE,2026-03-13T00:00:00+00:00
1MCHEEMSUSDT,1MCHEEMS,4H,Base TV,365,441,6,33.3333,1.1021,-11.3208,0.0461,0.9735,0.484,LONG,NONE,2026-03-13T00:00:00+00:00
JOEUSDT,JOE,4H,Base TV,365,441,6,50.0,0.8763,-14.7466,-3.1253,0.8914,0.0415,LONG,NONE,2026-03-13T00:00:00+00:00
1MBABYDOGEUSDT,1MBABYDOGE,4H,Base TV,365,441,5,40.0,1.1375,-16.3403,0.8831,0.6961,0.0004315,LONG,NONE,2026-03-13T00:00:00+00:00
ETCUSDT,ETC,4H,Base TV,365,441,5,60.0,0.4846,-11.3208,-6.2188,0.6421,8.382,SHORT,NONE,2026-03-13T00:00:00+00:00
RVNUSDT,RVN,4H,Base TV,365,441,6,33.3333,0.4245,-16.5897,-13.3915,0.2559,0.005451,SHORT,NONE,2026-03-13T00:00:00+00:00
MEWUSDT,MEW,4H,Base TV,365,441,7,28.5714,0.5492,-24.5851,-13.9642,0.2234,0.0006318,LONG,NONE,2026-03-13T00:00:00+00:00
KSMUSDT,KSM,4H,Base TV,365,441,6,33.3333,0.3075,-15.2217,-12.1764,0.202,4.567,SHORT,NONE,2026-03-13T00:00:00+00:00
AXLUSDT,AXL,4H,Base TV,365,441,5,40.0,0.2266,-13.0245,-13.0245,0.174,0.05595,SHORT,NONE,2026-03-13T00:00:00+00:00
RSRUSDT,RSR,4H,Base TV,365,441,5,40.0,0.2333,-14.6504,-12.9263,0.1592,0.001693,LONG,NONE,2026-03-13T00:00:00+00:00
ORDERUSDT,ORDER,4H,Base TV,365,441,5,20.0,0.4403,-21.3599,-13.2853,0.1031,0.05396,SHORT,NONE,2026-03-13T00:00:00+00:00
GRTUSDT,GRT,4H,Base TV,365,441,5,20.0,0.3115,-21.3599,-15.6478,0.0729,0.02846,LONG,NONE,2026-03-13T00:00:00+00:00
RONUSDT,RON,4H,Base TV,365,441,5,20.0,0.0829,-21.0758,-19.5723,0.0197,0.1003,LONG,NONE,2026-03-13T00:00:00+00:00
