symbol,baseCoin,quoteCoin,productType,symbolType,maxLever,isRwa,candles,days_of_returns,first_date,last_date,first_close,last_close,total_return_pct,win_rate_pct,profit_factor,max_drawdown_pct
0GUSDT,0G,USDT,USDT-FUTURES,perpetual,50,NO,90,89,2025-12-13,2026-03-12,0.9358,0.5864,-37.337,37.0787,0.8745,-53.5556
1000000MOGUSDT,1000000MOG,USDT,USDT-FUTURES,perpetual,50,NO,90,89,2025-12-13,2026-03-12,0.2544,0.163,-35.9277,47.191,0.8459,-58.277
1000BONKUSDT,1000BONK,USDT,USDT-FUTURES,perpetual,75,NO,90,89,2025-12-13,2026-03-12,0.009053,0.006204,-31.4702,39.3258,0.8431,-53.7109
1000CATUSDT,1000CAT,USDT,USDT-FUTURES,perpetual,10,NO,90,89,2025-12-13,2026-03-12,0.003016,0.00185,-38.6605,42.6966,0.7862,-53.7939
1000RATSUSDT,1000RATS,USDT,USDT-FUTURES,perpetual,25,NO,90,89,2025-12-13,2026-03-12,0.04196,0.05005,19.2803,47.191,1.2278,-50.4259
1000SATSUSDT,1000SATS,USDT,USDT-FUTURES,perpetual,25,NO,90,89,2025-12-13,2026-03-12,1.631e-05,1.262e-05,-22.6242,42.6966,0.8941,-48.5954
1000XECUSDT,1000XEC,USDT,USDT-FUTURES,perpetual,50,NO,90,89,2025-12-13,2026-03-12,0.01121,0.00709,-36.7529,42.6966,0.6496,-46.0432
1INCHUSDT,1INCH,USDT,USDT-FUTURES,perpetual,75,NO,90,89,2025-12-13,2026-03-12,0.1683,0.0971,-42.3054,44.9438,0.6877,-48.366
1MBABYDOGEUSDT,1MBABYDOGE,USDT,USDT-FUTURES,perpetual,75,NO,90,89,2025-12-13,2026-03-12,0.0006476,0.0004314,-33.3848,44.9438,0.8189,-51.5602
1MCHEEMSUSDT,1MCHEEMS,USDT,USDT-FUTURES,perpetual,25,NO,90,89,2025-12-13,2026-03-12,1.0505,0.4857,-53.7649,33.7079,0.7188,-61.8851
2ZUSDT,2Z,USDT,USDT-FUTURES,perpetual,50,NO,90,89,2025-12-13,2026-03-12,0.11401,0.08114,-28.8308,50.5618,0.8472,-52.9212
4USDT,4,USDT,USDT-FUTURES,perpetual,10,NO,90,89,2025-12-13,2026-03-12,0.02487,0.0082,-67.0285,39.3258,0.7138,-75.1501
AAPLUSDT,AAPL,USDT,USDT-FUTURES,perpetual,100,YES,90,89,2025-12-13,2026-03-12,278.02,256.41,-7.7728,35.9551,0.8186,-10.5064
AAVEUSDT,AAVE,USDT,USDT-FUTURES,perpetual,75,NO,90,89,2025-12-13,2026-03-12,191.35,113.66,-40.601,39.3258,0.7285,-45.0797
ACEUSDT,ACE,USDT,USDT-FUTURES,perpetual,25,NO,90,89,2025-12-13,2026-03-12,0.2266,0.1482,-34.5984,43.8202,0.7891,-52.4806
ACHUSDT,ACH,USDT,USDT-FUTURES,perpetual,75,NO,90,89,2025-12-13,2026-03-12,0.00918,0.006842,-25.4684,47.191,0.8259,-48.3261
ACNUSDT,ACN,USDT,USDT-FUTURES,perpetual,20,YES,90,89,2025-12-13,2026-03-12,274.0,196.8,-28.1752,40.4494,0.6155,-34.4267
ACTUSDT,ACT,USDT,USDT-FUTURES,perpetual,10,NO,90,89,2025-12-13,2026-03-12,0.02081,0.01393,-33.061,44.9438,0.8651,-71.4479
ACUUSDT,ACU,USDT,USDT-FUTURES,perpetual,10,NO,52,51,2026-01-20,2026-03-12,0.13366,0.09358,-29.9865,41.1765,1.1041,-65.9757
ACXUSDT,ACX,USDT,USDT-FUTURES,perpetual,20,NO,90,89,2025-12-13,2026-03-12,0.0541,0.04948,-8.5397,43.8202,1.0968,-42.4633
ADAUSDT,ADA,USDT,USDT-FUTURES,perpetual,75,NO,90,89,2025-12-13,2026-03-12,0.3992,0.2695,-32.49,42.6966,0.7823,-40.5669
AERGOUSDT,AERGO,USDT,USDT-FUTURES,perpetual,50,NO,90,89,2025-12-13,2026-03-12,0.06216,0.05481,-11.8243,42.6966,0.955,-22.186
AEROUSDT,AERO,USDT,USDT-FUTURES,perpetual,75,NO,90,89,2025-12-13,2026-03-12,0.5869,0.3424,-41.6596,43.8202,0.7991,-54.4679
AEVOUSDT,AEVO,USDT,USDT-FUTURES,perpetual,50,NO,90,89,2025-12-13,2026-03-12,0.04073,0.02579,-36.6806,46.0674,0.7545,-50.6355
AGLDUSDT,AGLD,USDT,USDT-FUTURES,perpetual,50,NO,90,89,2025-12-13,2026-03-12,0.2743,0.2595,-5.3956,49.4382,1.0826,-44.6554
AINUSDT,AIN,USDT,USDT-FUTURES,perpetual,10,NO,90,89,2025-12-13,2026-03-12,0.065,0.05254,-19.1692,44.9438,1.0167,-57.1538
AIOUSDT,AIO,USDT,USDT-FUTURES,perpetual,50,NO,90,89,2025-12-13,2026-03-12,0.08973,0.08137,-9.3168,51.6854,1.1171,-61.669
AIUSDT,AI,USDT,USDT-FUTURES,perpetual,10,NO,90,89,2025-12-13,2026-03-12,0.03949,0.02276,-42.3652,42.6966,0.7407,-58.0652
