open_time,open,high,low,close,volume
2026-02-08 18:30:00+00:00,277.38,277.38,277.38,277.38,0.0
2026-02-08 18:45:00+00:00,277.38,277.44,277.36,277.36,10.06
2026-02-08 19:00:00+00:00,277.36,277.44,277.34,277.34,0.59
2026-02-08 19:15:00+00:00,277.34,277.35,277.31,277.31,6.57
2026-02-08 19:30:00+00:00,277.31,277.31,277.31,277.31,6.37
2026-02-08 19:45:00+00:00,277.31,277.32,277.31,277.32,0.38
2026-02-08 20:00:00+00:00,277.32,277.49,277.32,277.49,2.5
2026-02-08 20:15:00+00:00,277.49,277.49,277.45,277.45,0.13
2026-02-08 20:30:00+00:00,277.45,277.45,277.42,277.42,0.71
2026-02-08 20:45:00+00:00,277.42,277.43,277.42,277.42,0.15
2026-02-08 21:00:00+00:00,277.42,277.42,277.3,277.3,22.13
2026-02-08 21:15:00+00:00,277.3,277.33,277.3,277.33,0.43
2026-02-08 21:30:00+00:00,277.33,277.33,277.29,277.29,0.02
2026-02-08 21:45:00+00:00,277.29,277.49,277.29,277.29,6.27
2026-02-08 22:00:00+00:00,277.29,277.4,277.29,277.3,9.18
2026-02-08 22:15:00+00:00,277.3,277.39,277.3,277.39,0.07
2026-02-08 22:30:00+00:00,277.39,277.39,277.31,277.31,1.94
2026-02-08 22:45:00+00:00,277.31,277.39,277.31,277.39,0.42
2026-02-08 23:00:00+00:00,277.39,277.48,277.33,277.41,4.04
2026-02-08 23:15:00+00:00,277.41,277.48,277.41,277.43,24.72
2026-02-08 23:30:00+00:00,277.43,277.43,277.36,277.37,11.11
2026-02-08 23:45:00+00:00,277.37,277.47,277.37,277.44,12.27
2026-02-09 00:00:00+00:00,277.44,277.85,277.44,277.83,9.78
2026-02-09 00:15:00+00:00,277.83,277.83,277.83,277.83,0.0
2026-02-09 00:30:00+00:00,277.83,277.98,277.5,277.65,16.39
2026-02-09 00:45:00+00:00,277.65,277.65,277.59,277.59,0.1
2026-02-09 01:00:00+00:00,277.59,277.95,277.42,277.52,67.3
2026-02-09 01:15:00+00:00,277.52,277.62,277.32,277.32,6.26
2026-02-09 01:30:00+00:00,277.32,277.37,277.32,277.37,0.02
2026-02-09 01:45:00+00:00,277.37,277.72,277.34,277.37,36.93
2026-02-09 02:00:00+00:00,277.37,277.44,277.35,277.35,0.65
2026-02-09 02:15:00+00:00,277.35,277.41,277.35,277.38,1.64
2026-02-09 02:30:00+00:00,277.38,277.45,277.38,277.45,33.34
2026-02-09 02:45:00+00:00,277.45,277.51,277.45,277.5,0.99
2026-02-09 03:00:00+00:00,277.5,277.5,277.31,277.32,1.46
2026-02-09 03:15:00+00:00,277.32,277.66,277.32,277.66,0.14
2026-02-09 03:30:00+00:00,277.66,277.66,276.75,277.02,39.81
2026-02-09 03:45:00+00:00,277.02,277.02,276.74,276.74,1.13
2026-02-09 04:00:00+00:00,276.74,277.05,276.74,276.74,0.69
2026-02-09 04:15:00+00:00,276.74,277.05,276.74,276.78,1.04
2026-02-09 04:30:00+00:00,276.78,277.52,276.44,276.58,106.82
2026-02-09 04:45:00+00:00,276.58,277.0,276.23,276.29,101.82
2026-02-09 05:00:00+00:00,276.29,276.65,276.22,276.65,1.24
2026-02-09 05:15:00+00:00,276.65,276.7,276.46,276.7,0.16
2026-02-09 05:30:00+00:00,276.7,276.81,276.7,276.72,1.07
2026-02-09 05:45:00+00:00,276.72,276.72,276.72,276.72,0.62
2026-02-09 06:00:00+00:00,276.72,276.72,276.19,276.67,1.53
2026-02-09 06:15:00+00:00,276.67,276.67,276.59,276.59,0.13
2026-02-09 06:30:00+00:00,276.59,276.81,276.59,276.81,2.05
2026-02-09 06:45:00+00:00,276.81,276.83,276.49,276.49,0.06
2026-02-09 07:00:00+00:00,276.49,276.84,276.49,276.84,9.58
2026-02-09 07:15:00+00:00,276.84,276.92,276.68,276.68,0.74
2026-02-09 07:30:00+00:00,276.68,276.68,276.51,276.51,0.17
2026-02-09 07:45:00+00:00,276.51,276.91,276.51,276.61,0.42
2026-02-09 08:00:00+00:00,276.61,277.01,276.55,277.0,26.91
2026-02-09 08:15:00+00:00,277.0,277.05,276.96,276.98,9.81
2026-02-09 08:30:00+00:00,276.98,277.07,276.98,277.0,30.54
2026-02-09 08:45:00+00:00,277.0,277.01,276.89,276.94,3.42
2026-02-09 09:00:00+00:00,276.94,277.41,276.94,277.34,74.39
2026-02-09 09:15:00+00:00,277.34,277.39,277.08,277.14,181.54
2026-02-09 09:30:00+00:00,277.14,277.43,277.14,277.4,0.3
2026-02-09 09:45:00+00:00,277.4,277.63,276.85,277.24,99.7
2026-02-09 10:00:00+00:00,277.24,277.24,276.8,276.8,26.44
2026-02-09 10:15:00+00:00,276.8,276.97,276.8,276.97,14.62
2026-02-09 10:30:00+00:00,276.97,277.37,276.88,276.9,78.03
2026-02-09 10:45:00+00:00,276.9,277.08,276.82,277.08,57.52
2026-02-09 11:00:00+00:00,277.08,277.12,276.86,276.86,19.05
2026-02-09 11:15:00+00:00,276.86,277.23,276.82,277.23,73.4
2026-02-09 11:30:00+00:00,277.23,277.44,277.23,277.24,150.15
2026-02-09 11:45:00+00:00,277.24,277.24,276.75,276.75,20.62
2026-02-09 12:00:00+00:00,276.75,277.9,276.75,277.9,70.24
2026-02-09 12:15:00+00:00,277.9,277.99,277.71,277.71,18.64
2026-02-09 12:30:00+00:00,277.71,277.87,277.58,277.87,7.5
2026-02-09 12:45:00+00:00,277.87,278.26,277.86,278.21,38.87
2026-02-09 13:00:00+00:00,278.21,278.43,278.0,278.06,43.08
2026-02-09 13:15:00+00:00,278.06,278.06,277.62,277.69,23.43
2026-02-09 13:30:00+00:00,277.69,277.8,277.5,277.55,58.21
2026-02-09 13:45:00+00:00,277.55,277.64,277.54,277.54,38.45
2026-02-09 14:00:00+00:00,277.54,277.86,277.54,277.85,10.5
2026-02-09 14:15:00+00:00,277.85,277.95,277.71,277.83,211.54
2026-02-09 14:30:00+00:00,277.83,278.1,273.83,274.51,4226.21
2026-02-09 14:45:00+00:00,274.51,275.06,273.46,274.24,1937.89
2026-02-09 15:00:00+00:00,274.24,274.29,273.31,273.76,1596.03
2026-02-09 15:15:00+00:00,273.76,274.43,273.3,273.38,829.96
2026-02-09 15:30:00+00:00,273.38,273.9,273.3,273.59,929.19
2026-02-09 15:45:00+00:00,273.59,273.7,273.01,273.33,592.87
2026-02-09 16:00:00+00:00,273.33,273.84,273.31,273.47,608.84
2026-02-09 16:15:00+00:00,273.47,273.67,273.1,273.61,386.84
2026-02-09 16:30:00+00:00,273.61,273.99,273.49,273.68,499.9
