open_time,open,high,low,close,volume
2026-02-19 06:15:00+00:00,8.892,8.916,8.884,8.916,1965.1
2026-02-19 06:30:00+00:00,8.916,8.925,8.891,8.896,1589.0
2026-02-19 06:45:00+00:00,8.896,8.907,8.889,8.901,2589.2
2026-02-19 07:00:00+00:00,8.901,8.902,8.875,8.892,2344.5
2026-02-19 07:15:00+00:00,8.892,8.904,8.889,8.902,1780.4
2026-02-19 07:30:00+00:00,8.902,8.916,8.885,8.893,5321.2
2026-02-19 07:45:00+00:00,8.893,8.903,8.884,8.896,1528.8
2026-02-19 08:00:00+00:00,8.896,8.896,8.868,8.873,3992.4
2026-02-19 08:15:00+00:00,8.873,8.877,8.837,8.84,2420.5
2026-02-19 08:30:00+00:00,8.84,8.841,8.794,8.813,8439.6
2026-02-19 08:45:00+00:00,8.813,8.83,8.806,8.827,4499.7
2026-02-19 09:00:00+00:00,8.827,8.838,8.815,8.822,3837.3
2026-02-19 09:15:00+00:00,8.822,8.864,8.818,8.853,4234.7
2026-02-19 09:30:00+00:00,8.853,8.859,8.841,8.856,2750.0
2026-02-19 09:45:00+00:00,8.856,8.859,8.819,8.822,6751.9
2026-02-19 10:00:00+00:00,8.822,8.828,8.797,8.821,8056.5
2026-02-19 10:15:00+00:00,8.821,8.843,8.819,8.833,1888.1
2026-02-19 10:30:00+00:00,8.833,8.847,8.826,8.84,2473.3
2026-02-19 10:45:00+00:00,8.84,8.85,8.812,8.821,6696.5
2026-02-19 11:00:00+00:00,8.821,8.827,8.817,8.826,2612.9
2026-02-19 11:15:00+00:00,8.826,8.834,8.819,8.819,2889.9
2026-02-19 11:30:00+00:00,8.819,8.819,8.791,8.806,3449.4
2026-02-19 11:45:00+00:00,8.806,8.806,8.776,8.786,6846.8
2026-02-19 12:00:00+00:00,8.786,8.795,8.772,8.79,5878.9
2026-02-19 12:15:00+00:00,8.79,8.814,8.78,8.814,6384.5
2026-02-19 12:30:00+00:00,8.814,8.814,8.791,8.8,1708.1
2026-02-19 12:45:00+00:00,8.8,8.804,8.785,8.788,2637.4
2026-02-19 13:00:00+00:00,8.788,8.791,8.734,8.767,12238.7
2026-02-19 13:15:00+00:00,8.767,8.774,8.745,8.746,5800.4
