open_time,open,high,low,close,volume
2026-02-08 18:30:00+00:00,57.68,57.68,57.42,57.68,21.16
2026-02-08 18:45:00+00:00,57.68,57.68,57.68,57.68,0.0
2026-02-08 19:00:00+00:00,57.68,57.68,57.68,57.68,0.0
2026-02-08 19:15:00+00:00,57.68,57.69,57.63,57.63,0.39
2026-02-08 19:30:00+00:00,57.63,58.03,57.63,57.76,34.25
2026-02-08 19:45:00+00:00,57.76,57.76,57.71,57.71,4.64
2026-02-08 20:00:00+00:00,57.71,57.79,57.49,57.49,13.11
2026-02-08 20:15:00+00:00,57.49,57.49,57.48,57.48,2.58
2026-02-08 20:30:00+00:00,57.48,57.48,57.47,57.47,2.0
2026-02-08 20:45:00+00:00,57.47,57.47,57.47,57.47,0.0
2026-02-08 21:00:00+00:00,57.47,57.48,57.47,57.47,5.94
2026-02-08 21:15:00+00:00,57.47,57.52,57.47,57.5,50.3
2026-02-08 21:30:00+00:00,57.5,57.55,57.47,57.5,32.24
2026-02-08 21:45:00+00:00,57.5,57.5,57.41,57.41,53.61
2026-02-08 22:00:00+00:00,57.41,57.41,57.33,57.37,72.15
2026-02-08 22:15:00+00:00,57.37,57.37,57.34,57.37,24.02
2026-02-08 22:30:00+00:00,57.37,57.37,57.34,57.37,85.18
2026-02-08 22:45:00+00:00,57.37,57.37,57.37,57.37,21.74
2026-02-08 23:00:00+00:00,57.37,58.16,57.37,57.73,93.77
2026-02-08 23:15:00+00:00,57.73,58.23,57.33,57.57,353.24
2026-02-08 23:30:00+00:00,57.57,57.58,57.11,57.56,105.37
2026-02-08 23:45:00+00:00,57.56,57.72,57.42,57.42,9.42
2026-02-09 00:00:00+00:00,57.42,57.77,57.42,57.57,31.71
2026-02-09 00:15:00+00:00,57.57,57.57,57.57,57.57,0.0
2026-02-09 00:30:00+00:00,57.57,57.57,57.57,57.57,0.0
2026-02-09 00:45:00+00:00,57.57,57.57,57.57,57.57,0.0
2026-02-09 01:00:00+00:00,57.57,58.68,57.57,58.13,616.17
2026-02-09 01:15:00+00:00,58.13,58.72,58.13,58.72,166.21
2026-02-09 01:30:00+00:00,58.72,58.73,58.56,58.56,80.69
2026-02-09 01:45:00+00:00,58.56,58.56,58.49,58.55,4.09
2026-02-09 02:00:00+00:00,58.55,58.55,58.2,58.2,78.65
2026-02-09 02:15:00+00:00,58.2,58.2,58.06,58.06,14.25
2026-02-09 02:30:00+00:00,58.06,58.39,58.06,58.39,108.12
2026-02-09 02:45:00+00:00,58.39,58.42,58.28,58.28,103.4
2026-02-09 03:00:00+00:00,58.28,58.33,58.28,58.3,38.24
2026-02-09 03:15:00+00:00,58.3,58.45,58.3,58.4,46.83
2026-02-09 03:30:00+00:00,58.4,58.51,58.3,58.51,98.58
2026-02-09 03:45:00+00:00,58.51,58.6,58.51,58.6,55.99
2026-02-09 04:00:00+00:00,58.6,58.69,58.5,58.63,84.7
2026-02-09 04:15:00+00:00,58.63,58.71,58.34,58.68,56.62
2026-02-09 04:30:00+00:00,58.68,58.7,58.51,58.51,13.8
2026-02-09 04:45:00+00:00,58.51,58.51,58.48,58.49,92.99
2026-02-09 05:00:00+00:00,58.49,58.56,58.46,58.46,68.25
