open_time,open,high,low,close,volume
2026-02-19 06:15:00+00:00,0.2459,0.2467,0.2456,0.2467,15596.0
2026-02-19 06:30:00+00:00,0.2467,0.2474,0.2462,0.2464,41590.0
2026-02-19 06:45:00+00:00,0.2464,0.2477,0.2463,0.2477,188591.0
2026-02-19 07:00:00+00:00,0.2477,0.2478,0.2467,0.2472,122525.0
2026-02-19 07:15:00+00:00,0.2472,0.2472,0.2466,0.247,3154.0
2026-02-19 07:30:00+00:00,0.247,0.2476,0.2467,0.2472,233780.0
2026-02-19 07:45:00+00:00,0.2472,0.2474,0.2467,0.2473,98763.0
2026-02-19 08:00:00+00:00,0.2473,0.2473,0.2462,0.2463,29272.0
2026-02-19 08:15:00+00:00,0.2463,0.2463,0.2443,0.2446,38453.0
2026-02-19 08:30:00+00:00,0.2446,0.2446,0.2418,0.2425,284364.0
2026-02-19 08:45:00+00:00,0.2425,0.2435,0.2425,0.243,200538.0
2026-02-19 09:00:00+00:00,0.243,0.2433,0.2425,0.2429,124653.0
2026-02-19 09:15:00+00:00,0.2429,0.244,0.2429,0.2438,157157.0
2026-02-19 09:30:00+00:00,0.2438,0.2441,0.2434,0.244,38131.0
2026-02-19 09:45:00+00:00,0.244,0.2442,0.2422,0.2425,137282.0
2026-02-19 10:00:00+00:00,0.2425,0.2425,0.2413,0.2421,183020.0
2026-02-19 10:15:00+00:00,0.2421,0.2426,0.2421,0.2423,5553.0
2026-02-19 10:30:00+00:00,0.2423,0.2432,0.2421,0.2431,76537.0
2026-02-19 10:45:00+00:00,0.2431,0.2431,0.2415,0.2423,71393.0
2026-02-19 11:00:00+00:00,0.2423,0.2433,0.2423,0.2433,33089.0
2026-02-19 11:15:00+00:00,0.2433,0.2435,0.2425,0.2425,55116.0
2026-02-19 11:30:00+00:00,0.2425,0.2431,0.242,0.243,58026.0
2026-02-19 11:45:00+00:00,0.243,0.2433,0.242,0.2421,74153.0
2026-02-19 12:00:00+00:00,0.2421,0.2431,0.2417,0.2426,154501.0
2026-02-19 12:15:00+00:00,0.2426,0.2426,0.2418,0.2425,203250.0
2026-02-19 12:30:00+00:00,0.2425,0.243,0.2419,0.2423,36490.0
2026-02-19 12:45:00+00:00,0.2423,0.2423,0.2408,0.2411,80621.0
2026-02-19 13:00:00+00:00,0.2411,0.2411,0.2385,0.2391,268972.0
2026-02-19 13:15:00+00:00,0.2391,0.2391,0.2375,0.2375,158578.0
2026-02-19 13:30:00+00:00,0.2375,0.2378,0.2332,0.2341,751895.0
2026-02-19 13:45:00+00:00,0.2341,0.2351,0.2335,0.2342,193236.0
2026-02-19 14:00:00+00:00,0.2342,0.2352,0.2342,0.235,159138.0
2026-02-19 14:15:00+00:00,0.235,0.235,0.2336,0.2342,63162.0
2026-02-19 14:30:00+00:00,0.2342,0.2366,0.2333,0.2362,328919.0
2026-02-19 14:45:00+00:00,0.2362,0.2384,0.2353,0.2369,532826.0
