open_time,open,high,low,close,volume
2026-02-08 18:30:00+00:00,1.346,1.359,1.346,1.355,73454.0
2026-02-08 18:45:00+00:00,1.355,1.357,1.35,1.353,29309.0
2026-02-08 19:00:00+00:00,1.353,1.354,1.35,1.352,22534.0
2026-02-08 19:15:00+00:00,1.352,1.354,1.352,1.352,17403.0
2026-02-08 19:30:00+00:00,1.352,1.355,1.351,1.353,11756.0
2026-02-08 19:45:00+00:00,1.353,1.358,1.352,1.356,21094.0
2026-02-08 20:00:00+00:00,1.356,1.356,1.346,1.348,20659.0
2026-02-08 20:15:00+00:00,1.348,1.351,1.344,1.345,35963.0
2026-02-08 20:30:00+00:00,1.345,1.349,1.345,1.348,13993.0
2026-02-08 20:45:00+00:00,1.348,1.348,1.34,1.341,24869.0
2026-02-08 21:00:00+00:00,1.341,1.344,1.339,1.343,34595.0
2026-02-08 21:15:00+00:00,1.343,1.343,1.341,1.342,15494.0
2026-02-08 21:30:00+00:00,1.342,1.342,1.33,1.332,43161.0
2026-02-08 21:45:00+00:00,1.332,1.336,1.329,1.336,73259.0
2026-02-08 22:00:00+00:00,1.336,1.338,1.335,1.337,8784.0
2026-02-08 22:15:00+00:00,1.337,1.34,1.336,1.338,4062.0
2026-02-08 22:30:00+00:00,1.338,1.338,1.331,1.336,17288.0
2026-02-08 22:45:00+00:00,1.336,1.339,1.335,1.338,22507.0
2026-02-08 23:00:00+00:00,1.338,1.366,1.338,1.346,123229.0
2026-02-08 23:15:00+00:00,1.346,1.348,1.328,1.334,40781.0
2026-02-08 23:30:00+00:00,1.334,1.335,1.323,1.335,71225.0
2026-02-08 23:45:00+00:00,1.335,1.344,1.334,1.334,16337.0
2026-02-09 00:00:00+00:00,1.334,1.34,1.333,1.339,12035.0
2026-02-09 00:15:00+00:00,1.339,1.34,1.331,1.331,18098.0
2026-02-09 00:30:00+00:00,1.331,1.334,1.328,1.33,8730.0
2026-02-09 00:45:00+00:00,1.33,1.336,1.329,1.336,12498.0
2026-02-09 01:00:00+00:00,1.336,1.338,1.333,1.333,9351.0
2026-02-09 01:15:00+00:00,1.333,1.346,1.332,1.343,6085.0
2026-02-09 01:30:00+00:00,1.343,1.343,1.326,1.329,57045.0
2026-02-09 01:45:00+00:00,1.329,1.336,1.326,1.333,122959.0
2026-02-09 02:00:00+00:00,1.333,1.334,1.33,1.332,19974.0
2026-02-09 02:15:00+00:00,1.332,1.334,1.332,1.333,8913.0
2026-02-09 02:30:00+00:00,1.333,1.346,1.333,1.344,18466.0
2026-02-09 02:45:00+00:00,1.344,1.345,1.339,1.339,12712.0
2026-02-09 03:00:00+00:00,1.339,1.341,1.336,1.336,5232.0
2026-02-09 03:15:00+00:00,1.336,1.339,1.333,1.337,73114.0
2026-02-09 03:30:00+00:00,1.337,1.348,1.337,1.347,29326.0
2026-02-09 03:45:00+00:00,1.347,1.348,1.344,1.345,4976.0
2026-02-09 04:00:00+00:00,1.345,1.346,1.338,1.339,4012.0
2026-02-09 04:15:00+00:00,1.339,1.342,1.339,1.34,4346.0
2026-02-09 04:30:00+00:00,1.34,1.34,1.333,1.333,7822.0
2026-02-09 04:45:00+00:00,1.333,1.334,1.331,1.331,14509.0
2026-02-09 05:00:00+00:00,1.331,1.331,1.326,1.327,20368.0
2026-02-09 05:15:00+00:00,1.327,1.331,1.326,1.33,12702.0
2026-02-09 05:30:00+00:00,1.33,1.334,1.33,1.331,29397.0
2026-02-09 05:45:00+00:00,1.331,1.332,1.328,1.332,25607.0
2026-02-09 06:00:00+00:00,1.332,1.332,1.322,1.325,51534.0
2026-02-09 06:15:00+00:00,1.325,1.325,1.316,1.319,19622.0
2026-02-09 06:30:00+00:00,1.319,1.324,1.319,1.323,28697.0
2026-02-09 06:45:00+00:00,1.323,1.324,1.322,1.323,1503.0
2026-02-09 07:00:00+00:00,1.323,1.325,1.319,1.324,8027.0
2026-02-09 07:15:00+00:00,1.324,1.324,1.321,1.321,4554.0
2026-02-09 07:30:00+00:00,1.321,1.322,1.312,1.314,70540.0
2026-02-09 07:45:00+00:00,1.314,1.318,1.312,1.315,7402.0
