open_time,open,high,low,close,volume
2026-02-19 05:45:00+00:00,0.931,0.933,0.929,0.932,11983.3
2026-02-19 06:00:00+00:00,0.932,0.934,0.932,0.933,12483.9
2026-02-19 06:15:00+00:00,0.933,0.937,0.933,0.937,17690.1
2026-02-19 06:30:00+00:00,0.937,0.939,0.937,0.937,9467.5
2026-02-19 06:45:00+00:00,0.937,0.937,0.936,0.936,13119.4
2026-02-19 07:00:00+00:00,0.936,0.937,0.934,0.935,8332.3
2026-02-19 07:15:00+00:00,0.935,0.937,0.934,0.937,4290.4
2026-02-19 07:30:00+00:00,0.937,0.939,0.934,0.935,35388.7
2026-02-19 07:45:00+00:00,0.935,0.937,0.934,0.935,8485.6
2026-02-19 08:00:00+00:00,0.935,0.935,0.93,0.93,20871.5
2026-02-19 08:15:00+00:00,0.93,0.931,0.927,0.927,21792.9
2026-02-19 08:30:00+00:00,0.927,0.927,0.921,0.921,21390.6
2026-02-19 08:45:00+00:00,0.921,0.923,0.919,0.922,11078.8
2026-02-19 09:00:00+00:00,0.922,0.924,0.921,0.921,23955.8
2026-02-19 09:15:00+00:00,0.921,0.928,0.921,0.926,19113.8
2026-02-19 09:30:00+00:00,0.926,0.928,0.925,0.927,9319.3
2026-02-19 09:45:00+00:00,0.927,0.927,0.921,0.922,18068.5
2026-02-19 10:00:00+00:00,0.922,0.922,0.916,0.921,13412.7
2026-02-19 10:15:00+00:00,0.921,0.925,0.921,0.924,12952.2
2026-02-19 10:30:00+00:00,0.924,0.925,0.923,0.925,6361.4
2026-02-19 10:45:00+00:00,0.925,0.925,0.919,0.922,38885.5
2026-02-19 11:00:00+00:00,0.922,0.924,0.922,0.924,18000.5
2026-02-19 11:15:00+00:00,0.924,0.925,0.923,0.923,25474.0
2026-02-19 11:30:00+00:00,0.923,0.924,0.922,0.924,13018.3
2026-02-19 11:45:00+00:00,0.924,0.925,0.921,0.923,50423.5
2026-02-19 12:00:00+00:00,0.923,0.926,0.923,0.924,52733.7
2026-02-19 12:15:00+00:00,0.924,0.925,0.923,0.924,16458.3
2026-02-19 12:30:00+00:00,0.924,0.925,0.923,0.924,28585.2
2026-02-19 12:45:00+00:00,0.924,0.924,0.922,0.922,5598.4
2026-02-19 13:00:00+00:00,0.922,0.922,0.912,0.916,127554.1
2026-02-19 13:15:00+00:00,0.916,0.916,0.912,0.912,20977.2
2026-02-19 13:30:00+00:00,0.912,0.913,0.899,0.902,547404.6
2026-02-19 13:45:00+00:00,0.902,0.906,0.898,0.905,167940.3
2026-02-19 14:00:00+00:00,0.905,0.908,0.904,0.906,43506.2
2026-02-19 14:15:00+00:00,0.906,0.909,0.902,0.906,89074.3
2026-02-19 14:30:00+00:00,0.906,0.912,0.903,0.91,110992.6
2026-02-19 14:45:00+00:00,0.91,0.915,0.907,0.912,38047.5
2026-02-19 15:00:00+00:00,0.912,0.915,0.902,0.902,112591.1
2026-02-19 15:15:00+00:00,0.902,0.908,0.902,0.903,56362.1
2026-02-19 15:30:00+00:00,0.903,0.909,0.902,0.908,11955.9
2026-02-19 15:45:00+00:00,0.908,0.909,0.902,0.903,53192.7
2026-02-19 16:00:00+00:00,0.903,0.904,0.892,0.9,285868.4
2026-02-19 16:15:00+00:00,0.9,0.908,0.899,0.901,78818.7
2026-02-19 16:30:00+00:00,0.901,0.907,0.901,0.906,47808.3
2026-02-19 16:45:00+00:00,0.906,0.906,0.901,0.903,49275.2
2026-02-19 17:00:00+00:00,0.903,0.907,0.9,0.907,24257.7
2026-02-19 17:15:00+00:00,0.907,0.914,0.905,0.908,101708.5
2026-02-19 17:30:00+00:00,0.908,0.908,0.902,0.904,28821.4
2026-02-19 17:45:00+00:00,0.904,0.904,0.897,0.902,35965.2
2026-02-19 18:00:00+00:00,0.902,0.906,0.901,0.906,10171.9
2026-02-19 18:15:00+00:00,0.906,0.912,0.904,0.91,11205.8
2026-02-19 18:30:00+00:00,0.91,0.914,0.908,0.914,11481.1
2026-02-19 18:45:00+00:00,0.914,0.914,0.912,0.913,41320.3
2026-02-19 19:00:00+00:00,0.913,0.915,0.91,0.911,35435.6
2026-02-19 19:15:00+00:00,0.911,0.911,0.908,0.908,15320.8
2026-02-19 19:30:00+00:00,0.908,0.908,0.904,0.906,16865.1
2026-02-19 19:45:00+00:00,0.906,0.913,0.904,0.91,38701.9
2026-02-19 20:00:00+00:00,0.91,0.912,0.908,0.908,16160.9
2026-02-19 20:15:00+00:00,0.908,0.908,0.906,0.907,4518.9
2026-02-19 20:30:00+00:00,0.907,0.909,0.907,0.909,6307.5
2026-02-19 20:45:00+00:00,0.909,0.912,0.908,0.91,17825.0
2026-02-19 21:00:00+00:00,0.91,0.912,0.909,0.91,10648.7
2026-02-19 21:15:00+00:00,0.91,0.912,0.91,0.912,11448.0
2026-02-19 21:30:00+00:00,0.912,0.912,0.91,0.91,508.0
2026-02-19 21:45:00+00:00,0.91,0.911,0.909,0.91,3350.1
2026-02-19 22:00:00+00:00,0.91,0.913,0.909,0.909,6340.9
2026-02-19 22:15:00+00:00,0.909,0.91,0.907,0.907,2954.4
2026-02-19 22:30:00+00:00,0.907,0.907,0.904,0.905,9487.2
2026-02-19 22:45:00+00:00,0.905,0.913,0.905,0.913,25048.4
2026-02-19 23:00:00+00:00,0.913,0.913,0.909,0.91,32342.7
2026-02-19 23:15:00+00:00,0.91,0.914,0.91,0.912,4597.7
2026-02-19 23:30:00+00:00,0.912,0.913,0.911,0.912,56252.8
2026-02-19 23:45:00+00:00,0.912,0.914,0.911,0.914,112344.2
2026-02-20 00:00:00+00:00,0.914,0.915,0.912,0.915,35918.3
2026-02-20 00:15:00+00:00,0.915,0.921,0.914,0.92,74174.8
2026-02-20 00:30:00+00:00,0.92,0.922,0.919,0.919,16494.3
2026-02-20 00:45:00+00:00,0.919,0.919,0.918,0.919,17155.3
2026-02-20 01:00:00+00:00,0.919,0.921,0.918,0.92,11770.1
2026-02-20 01:15:00+00:00,0.92,0.92,0.916,0.916,13019.9
2026-02-20 01:30:00+00:00,0.916,0.92,0.916,0.919,16997.4
2026-02-20 01:45:00+00:00,0.919,0.92,0.918,0.919,8689.8
2026-02-20 02:00:00+00:00,0.919,0.923,0.919,0.922,21803.2
2026-02-20 02:15:00+00:00,0.922,0.922,0.919,0.919,2823.2
2026-02-20 02:30:00+00:00,0.919,0.92,0.919,0.919,5077.3
2026-02-20 02:45:00+00:00,0.919,0.919,0.915,0.916,38871.9
2026-02-20 03:00:00+00:00,0.916,0.92,0.915,0.92,161917.8
2026-02-20 03:15:00+00:00,0.92,0.922,0.917,0.921,133193.1
2026-02-20 03:30:00+00:00,0.921,0.922,0.918,0.918,22972.3
2026-02-20 03:45:00+00:00,0.918,0.919,0.918,0.919,7417.5
2026-02-20 04:00:00+00:00,0.919,0.919,0.915,0.916,9381.6
2026-02-20 04:15:00+00:00,0.916,0.916,0.908,0.91,60585.2
2026-02-20 04:30:00+00:00,0.91,0.915,0.909,0.914,23250.5
2026-02-20 04:45:00+00:00,0.914,0.914,0.911,0.911,8786.7
2026-02-20 05:00:00+00:00,0.911,0.912,0.909,0.91,7726.2
2026-02-20 05:15:00+00:00,0.91,0.912,0.91,0.912,9874.8
2026-02-20 05:30:00+00:00,0.912,0.923,0.912,0.922,44917.3
2026-02-20 05:45:00+00:00,0.922,0.925,0.92,0.92,6945.4
2026-02-20 06:00:00+00:00,0.92,0.922,0.919,0.921,26866.8
2026-02-20 06:15:00+00:00,0.921,0.922,0.919,0.919,11618.3
2026-02-20 06:30:00+00:00,0.919,0.922,0.919,0.921,16436.7
2026-02-20 06:45:00+00:00,0.921,0.925,0.92,0.923,8142.7
2026-02-20 07:00:00+00:00,0.923,0.924,0.921,0.922,2206.4
2026-02-20 07:15:00+00:00,0.922,0.923,0.922,0.922,1738.0
2026-02-20 07:30:00+00:00,0.922,0.922,0.918,0.919,6074.4
2026-02-20 07:45:00+00:00,0.919,0.921,0.918,0.919,3556.0
2026-02-20 08:00:00+00:00,0.919,0.921,0.919,0.919,2971.3
2026-02-20 08:15:00+00:00,0.919,0.92,0.918,0.919,21973.1
2026-02-20 08:30:00+00:00,0.919,0.921,0.919,0.921,6834.1
