open_time,open,high,low,close,volume
2026-02-08 18:30:00+00:00,54.52,54.96,54.52,54.81,1615.7
2026-02-08 18:45:00+00:00,54.81,54.88,54.7,54.7,140.1
2026-02-08 19:00:00+00:00,54.7,54.86,54.7,54.82,103.9
2026-02-08 19:15:00+00:00,54.82,54.96,54.74,54.77,3436.5
2026-02-08 19:30:00+00:00,54.77,54.86,54.73,54.81,151.0
2026-02-08 19:45:00+00:00,54.81,54.96,54.72,54.92,1814.0
2026-02-08 20:00:00+00:00,54.92,54.99,54.6,54.67,706.4
2026-02-08 20:15:00+00:00,54.67,54.8,54.6,54.66,448.0
2026-02-08 20:30:00+00:00,54.66,54.69,54.61,54.63,439.4
2026-02-08 20:45:00+00:00,54.63,54.66,54.33,54.35,703.9
2026-02-08 21:00:00+00:00,54.35,54.41,54.28,54.41,940.9
2026-02-08 21:15:00+00:00,54.41,54.47,54.33,54.34,665.5
2026-02-08 21:30:00+00:00,54.34,54.35,53.96,54.05,1470.3
2026-02-08 21:45:00+00:00,54.05,54.15,53.95,54.06,879.2
2026-02-08 22:00:00+00:00,54.06,54.24,54.06,54.23,1814.3
2026-02-08 22:15:00+00:00,54.23,54.34,54.23,54.28,421.3
2026-02-08 22:30:00+00:00,54.28,54.39,54.16,54.35,121.4
2026-02-08 22:45:00+00:00,54.35,54.53,54.35,54.48,274.0
2026-02-08 23:00:00+00:00,54.48,55.46,54.48,54.83,5073.1
2026-02-08 23:15:00+00:00,54.83,54.9,54.19,54.38,2137.1
2026-02-08 23:30:00+00:00,54.38,54.54,54.02,54.54,5582.8
2026-02-08 23:45:00+00:00,54.54,54.73,54.45,54.49,1455.1
2026-02-09 00:00:00+00:00,54.49,54.61,54.43,54.56,519.5
2026-02-09 00:15:00+00:00,54.56,54.68,54.38,54.39,406.7
2026-02-09 00:30:00+00:00,54.39,54.45,54.14,54.27,372.0
2026-02-09 00:45:00+00:00,54.27,54.43,54.19,54.43,276.9
2026-02-09 01:00:00+00:00,54.43,54.54,54.3,54.38,543.8
2026-02-09 01:15:00+00:00,54.38,54.85,54.34,54.68,335.5
2026-02-09 01:30:00+00:00,54.68,54.69,54.08,54.23,792.7
2026-02-09 01:45:00+00:00,54.23,54.46,54.11,54.34,4193.1
2026-02-09 02:00:00+00:00,54.34,54.34,54.19,54.19,921.1
2026-02-09 02:15:00+00:00,54.19,54.34,54.13,54.34,129.2
2026-02-09 02:30:00+00:00,54.34,54.9,54.32,54.8,1412.8
2026-02-09 02:45:00+00:00,54.8,54.81,54.57,54.6,396.7
2026-02-09 03:00:00+00:00,54.6,54.7,54.5,54.51,173.8
2026-02-09 03:15:00+00:00,54.51,54.61,54.37,54.51,596.3
2026-02-09 03:30:00+00:00,54.51,54.97,54.51,54.88,628.7
2026-02-09 03:45:00+00:00,54.88,54.98,54.8,54.89,302.2
2026-02-09 04:00:00+00:00,54.89,54.93,54.77,54.77,135.6
2026-02-09 04:15:00+00:00,54.77,54.88,54.76,54.84,127.0
2026-02-09 04:30:00+00:00,54.84,54.84,54.67,54.71,352.0
2026-02-09 04:45:00+00:00,54.71,54.77,54.67,54.75,425.1
