open_time,open,high,low,close,volume
2026-02-19 06:30:00+00:00,1.485,1.487,1.459,1.467,71203.4
2026-02-19 06:45:00+00:00,1.467,1.47,1.462,1.463,15433.0
2026-02-19 07:00:00+00:00,1.463,1.476,1.463,1.475,36231.5
2026-02-19 07:15:00+00:00,1.475,1.478,1.469,1.475,7762.2
2026-02-19 07:30:00+00:00,1.475,1.489,1.475,1.486,44569.1
2026-02-19 07:45:00+00:00,1.486,1.486,1.474,1.482,22715.8
2026-02-19 08:00:00+00:00,1.482,1.487,1.445,1.449,91995.6
2026-02-19 08:15:00+00:00,1.449,1.45,1.428,1.431,44701.2
2026-02-19 08:30:00+00:00,1.431,1.431,1.416,1.424,65678.0
2026-02-19 08:45:00+00:00,1.424,1.431,1.422,1.426,37153.6
2026-02-19 09:00:00+00:00,1.426,1.431,1.417,1.42,20506.7
2026-02-19 09:15:00+00:00,1.42,1.434,1.418,1.427,16687.0
2026-02-19 09:30:00+00:00,1.427,1.427,1.417,1.42,10550.0
2026-02-19 09:45:00+00:00,1.42,1.423,1.411,1.415,28438.0
2026-02-19 10:00:00+00:00,1.415,1.417,1.408,1.413,28290.2
2026-02-19 10:15:00+00:00,1.413,1.422,1.413,1.419,30944.7
2026-02-19 10:30:00+00:00,1.419,1.419,1.412,1.415,15601.0
2026-02-19 10:45:00+00:00,1.415,1.416,1.404,1.411,23863.0
2026-02-19 11:00:00+00:00,1.411,1.415,1.411,1.415,13912.9
2026-02-19 11:15:00+00:00,1.415,1.419,1.411,1.411,6129.4
2026-02-19 11:30:00+00:00,1.411,1.415,1.408,1.414,11216.4
2026-02-19 11:45:00+00:00,1.414,1.415,1.404,1.405,12384.5
2026-02-19 12:00:00+00:00,1.405,1.409,1.399,1.403,29601.4
2026-02-19 12:15:00+00:00,1.403,1.409,1.401,1.407,26835.6
2026-02-19 12:30:00+00:00,1.407,1.409,1.402,1.404,24857.1
2026-02-19 12:45:00+00:00,1.404,1.406,1.378,1.38,166823.6
2026-02-19 13:00:00+00:00,1.38,1.385,1.369,1.382,104704.2
2026-02-19 13:15:00+00:00,1.382,1.385,1.379,1.379,18364.1
2026-02-19 13:30:00+00:00,1.379,1.384,1.366,1.366,26496.6
2026-02-19 13:45:00+00:00,1.366,1.369,1.355,1.356,61370.7
2026-02-19 14:00:00+00:00,1.356,1.366,1.355,1.366,45824.7
2026-02-19 14:15:00+00:00,1.366,1.372,1.359,1.369,16001.6
2026-02-19 14:30:00+00:00,1.369,1.384,1.362,1.377,70747.0
2026-02-19 14:45:00+00:00,1.377,1.39,1.373,1.384,32493.8
2026-02-19 15:00:00+00:00,1.384,1.396,1.366,1.366,28800.3
2026-02-19 15:15:00+00:00,1.366,1.377,1.359,1.365,26278.9
2026-02-19 15:30:00+00:00,1.365,1.375,1.361,1.374,6835.7
