open_time,open,high,low,close,volume
2025-12-18 12:00:00+00:00,1.285,1.292,1.282,1.288,46186.4
2025-12-18 13:00:00+00:00,1.288,1.328,1.288,1.326,345563.0
2025-12-18 14:00:00+00:00,1.326,1.338,1.295,1.307,202037.8
2025-12-18 15:00:00+00:00,1.307,1.325,1.289,1.305,164107.2
2025-12-18 16:00:00+00:00,1.305,1.309,1.289,1.299,83952.1
2025-12-18 17:00:00+00:00,1.299,1.299,1.223,1.249,674046.3
2025-12-18 18:00:00+00:00,1.249,1.258,1.223,1.228,142859.6
2025-12-18 19:00:00+00:00,1.228,1.229,1.19,1.192,224628.3
2025-12-18 20:00:00+00:00,1.192,1.212,1.191,1.196,105240.6
2025-12-18 21:00:00+00:00,1.196,1.218,1.196,1.218,134709.4
2025-12-18 22:00:00+00:00,1.218,1.221,1.208,1.212,18138.9
2025-12-18 23:00:00+00:00,1.212,1.213,1.202,1.209,44231.7
2025-12-19 00:00:00+00:00,1.209,1.211,1.191,1.198,76032.5
2025-12-19 01:00:00+00:00,1.198,1.198,1.177,1.183,111295.4
2025-12-19 02:00:00+00:00,1.183,1.202,1.18,1.199,96603.7
2025-12-19 03:00:00+00:00,1.199,1.236,1.195,1.215,207260.9
2025-12-19 04:00:00+00:00,1.215,1.226,1.215,1.225,34328.6
2025-12-19 05:00:00+00:00,1.225,1.228,1.216,1.219,30815.4
2025-12-19 06:00:00+00:00,1.219,1.233,1.217,1.232,36715.0
2025-12-19 07:00:00+00:00,1.232,1.259,1.232,1.247,58726.6
2025-12-19 08:00:00+00:00,1.247,1.266,1.246,1.259,92594.3
2025-12-19 09:00:00+00:00,1.259,1.271,1.259,1.269,46551.2
2025-12-19 10:00:00+00:00,1.269,1.27,1.25,1.254,24250.6
2025-12-19 11:00:00+00:00,1.254,1.268,1.251,1.26,40976.7
2025-12-19 12:00:00+00:00,1.26,1.275,1.259,1.266,82344.1
2025-12-19 13:00:00+00:00,1.266,1.27,1.26,1.264,74730.0
2025-12-19 14:00:00+00:00,1.264,1.293,1.258,1.281,94670.1
2025-12-19 15:00:00+00:00,1.281,1.315,1.27,1.274,268691.7
2025-12-19 16:00:00+00:00,1.274,1.323,1.272,1.311,355367.8
2025-12-19 17:00:00+00:00,1.311,1.33,1.293,1.293,690452.2
2025-12-19 18:00:00+00:00,1.293,1.312,1.293,1.309,150259.3
2025-12-19 19:00:00+00:00,1.309,1.362,1.309,1.339,350157.9
2025-12-19 20:00:00+00:00,1.339,1.351,1.33,1.338,173501.0
2025-12-19 21:00:00+00:00,1.338,1.338,1.319,1.32,80794.2
2025-12-19 22:00:00+00:00,1.32,1.326,1.317,1.32,81100.6
2025-12-19 23:00:00+00:00,1.32,1.32,1.311,1.311,52332.4
2025-12-20 00:00:00+00:00,1.311,1.312,1.306,1.307,32166.8
2025-12-20 01:00:00+00:00,1.307,1.307,1.298,1.299,24643.7
2025-12-20 02:00:00+00:00,1.299,1.302,1.281,1.285,212020.6
2025-12-20 03:00:00+00:00,1.285,1.291,1.281,1.288,44277.9
2025-12-20 04:00:00+00:00,1.288,1.291,1.284,1.287,29141.2
2025-12-20 05:00:00+00:00,1.287,1.292,1.28,1.29,51738.3
2025-12-20 06:00:00+00:00,1.29,1.295,1.289,1.293,24965.3
2025-12-20 07:00:00+00:00,1.293,1.308,1.29,1.305,42600.8
2025-12-20 08:00:00+00:00,1.305,1.314,1.304,1.307,57391.1
2025-12-20 09:00:00+00:00,1.307,1.308,1.3,1.3,16688.7
2025-12-20 10:00:00+00:00,1.3,1.3,1.285,1.286,31874.9
2025-12-20 11:00:00+00:00,1.286,1.295,1.283,1.295,22258.2
2025-12-20 12:00:00+00:00,1.295,1.296,1.287,1.29,23812.8
2025-12-20 13:00:00+00:00,1.29,1.293,1.285,1.29,80006.4
2025-12-20 14:00:00+00:00,1.29,1.29,1.276,1.288,73282.5
2025-12-20 15:00:00+00:00,1.288,1.288,1.28,1.284,22384.4
2025-12-20 16:00:00+00:00,1.284,1.286,1.28,1.285,26689.0
2025-12-20 17:00:00+00:00,1.285,1.292,1.284,1.284,30513.1
2025-12-20 18:00:00+00:00,1.284,1.295,1.284,1.293,45424.4
2025-12-20 19:00:00+00:00,1.293,1.295,1.289,1.293,32762.3
2025-12-20 20:00:00+00:00,1.293,1.297,1.289,1.295,45496.3
2025-12-20 21:00:00+00:00,1.295,1.302,1.292,1.292,26870.3
2025-12-20 22:00:00+00:00,1.292,1.301,1.287,1.299,58446.3
2025-12-20 23:00:00+00:00,1.299,1.299,1.283,1.287,39295.9
2025-12-21 00:00:00+00:00,1.287,1.296,1.287,1.296,22345.5
2025-12-21 01:00:00+00:00,1.296,1.296,1.277,1.28,29724.8
2025-12-21 02:00:00+00:00,1.28,1.28,1.267,1.271,70447.2
2025-12-21 03:00:00+00:00,1.271,1.285,1.271,1.283,34302.1
2025-12-21 04:00:00+00:00,1.283,1.286,1.281,1.282,18385.0
2025-12-21 05:00:00+00:00,1.282,1.288,1.282,1.283,15747.7
2025-12-21 06:00:00+00:00,1.283,1.288,1.283,1.283,7228.1
2025-12-21 07:00:00+00:00,1.283,1.29,1.282,1.289,18302.3
2025-12-21 08:00:00+00:00,1.289,1.3,1.285,1.295,37132.7
2025-12-21 09:00:00+00:00,1.295,1.299,1.286,1.292,50283.3
2025-12-21 10:00:00+00:00,1.292,1.296,1.279,1.282,15844.5
2025-12-21 11:00:00+00:00,1.282,1.283,1.277,1.278,7572.9
2025-12-21 12:00:00+00:00,1.278,1.284,1.269,1.273,28493.1
2025-12-21 13:00:00+00:00,1.273,1.273,1.234,1.237,182291.1
2025-12-21 14:00:00+00:00,1.237,1.252,1.235,1.247,51117.5
2025-12-21 15:00:00+00:00,1.247,1.253,1.242,1.249,73687.6
2025-12-21 16:00:00+00:00,1.249,1.26,1.247,1.256,25169.4
2025-12-21 17:00:00+00:00,1.256,1.272,1.256,1.26,34162.0
2025-12-21 18:00:00+00:00,1.26,1.26,1.247,1.258,41585.7
2025-12-21 19:00:00+00:00,1.258,1.267,1.253,1.263,29539.1
2025-12-21 20:00:00+00:00,1.263,1.264,1.257,1.257,98578.8
2025-12-21 21:00:00+00:00,1.257,1.264,1.249,1.251,20926.1
2025-12-21 22:00:00+00:00,1.251,1.272,1.247,1.272,20686.0
2025-12-21 23:00:00+00:00,1.272,1.282,1.262,1.271,51564.3
2025-12-22 00:00:00+00:00,1.271,1.31,1.271,1.279,113641.6
2025-12-22 01:00:00+00:00,1.279,1.295,1.275,1.277,36849.0
2025-12-22 02:00:00+00:00,1.277,1.277,1.257,1.273,47518.0
2025-12-22 03:00:00+00:00,1.273,1.285,1.269,1.28,28851.0
2025-12-22 04:00:00+00:00,1.28,1.288,1.278,1.285,12838.0
2025-12-22 05:00:00+00:00,1.285,1.287,1.277,1.283,8041.6
2025-12-22 06:00:00+00:00,1.283,1.291,1.281,1.285,12361.6
2025-12-22 07:00:00+00:00,1.285,1.293,1.283,1.29,13160.7
2025-12-22 08:00:00+00:00,1.29,1.313,1.288,1.295,119544.2
2025-12-22 09:00:00+00:00,1.295,1.305,1.295,1.305,43468.9
2025-12-22 10:00:00+00:00,1.305,1.307,1.302,1.306,26337.4
2025-12-22 11:00:00+00:00,1.306,1.326,1.305,1.321,128937.0
2025-12-22 12:00:00+00:00,1.321,1.353,1.317,1.332,323422.8
2025-12-22 13:00:00+00:00,1.332,1.342,1.323,1.329,151618.8
2025-12-22 14:00:00+00:00,1.329,1.338,1.314,1.331,171720.5
2025-12-22 15:00:00+00:00,1.331,1.335,1.306,1.327,84254.9
2025-12-22 16:00:00+00:00,1.327,1.335,1.316,1.32,57507.6
2025-12-22 17:00:00+00:00,1.32,1.32,1.304,1.308,141736.2
2025-12-22 18:00:00+00:00,1.308,1.314,1.299,1.305,79120.3
2025-12-22 19:00:00+00:00,1.305,1.305,1.275,1.277,91494.4
2025-12-22 20:00:00+00:00,1.277,1.282,1.264,1.274,123503.8
2025-12-22 21:00:00+00:00,1.274,1.284,1.273,1.279,29215.0
2025-12-22 22:00:00+00:00,1.279,1.292,1.274,1.291,106181.4
2025-12-22 23:00:00+00:00,1.291,1.291,1.283,1.285,24608.3
