open_time,open,high,low,close,volume
2026-02-19 05:45:00+00:00,8.322,8.471,8.296,8.451,25794.0
2026-02-19 06:00:00+00:00,8.451,8.753,8.446,8.615,50947.0
2026-02-19 06:15:00+00:00,8.615,8.675,8.468,8.515,26981.0
2026-02-19 06:30:00+00:00,8.515,8.726,8.413,8.58,49711.0
2026-02-19 06:45:00+00:00,8.58,8.69,8.54,8.667,26363.0
2026-02-19 07:00:00+00:00,8.667,8.778,8.611,8.704,25143.0
2026-02-19 07:15:00+00:00,8.704,8.874,8.68,8.801,49625.0
2026-02-19 07:30:00+00:00,8.801,8.82,8.577,8.603,50534.0
2026-02-19 07:45:00+00:00,8.603,8.692,8.531,8.538,26788.0
2026-02-19 08:00:00+00:00,8.538,8.705,8.489,8.688,44417.0
2026-02-19 08:15:00+00:00,8.688,8.829,8.583,8.803,36272.0
2026-02-19 08:30:00+00:00,8.803,8.872,8.689,8.847,38462.0
2026-02-19 08:45:00+00:00,8.847,8.89,8.744,8.799,29409.0
2026-02-19 09:00:00+00:00,8.799,9.25,8.797,9.222,87535.0
2026-02-19 09:15:00+00:00,9.222,9.338,9.048,9.111,102853.0
2026-02-19 09:30:00+00:00,9.111,9.399,8.926,9.061,112905.0
2026-02-19 09:45:00+00:00,9.061,9.274,9.006,9.198,51530.0
2026-02-19 10:00:00+00:00,9.198,9.368,9.168,9.194,72481.0
2026-02-19 10:15:00+00:00,9.194,9.233,8.711,8.833,136650.0
2026-02-19 10:30:00+00:00,8.833,9.017,8.785,8.802,73755.0
2026-02-19 10:45:00+00:00,8.802,8.88,8.575,8.721,102413.0
2026-02-19 11:00:00+00:00,8.721,8.967,8.697,8.786,91685.0
2026-02-19 11:15:00+00:00,8.786,8.945,8.776,8.867,31955.0
2026-02-19 11:30:00+00:00,8.867,8.883,8.573,8.629,76810.0
2026-02-19 11:45:00+00:00,8.629,8.692,8.584,8.59,45000.0
2026-02-19 12:00:00+00:00,8.59,8.613,8.298,8.331,157174.0
2026-02-19 12:15:00+00:00,8.331,8.532,8.168,8.274,93131.0
2026-02-19 12:30:00+00:00,8.274,8.36,8.186,8.218,36236.0
2026-02-19 12:45:00+00:00,8.218,8.338,8.196,8.32,30938.0
2026-02-19 13:00:00+00:00,8.32,8.358,8.065,8.138,68315.0
2026-02-19 13:15:00+00:00,8.138,8.291,8.088,8.263,35665.0
2026-02-19 13:30:00+00:00,8.263,8.365,8.156,8.19,47966.0
2026-02-19 13:45:00+00:00,8.19,8.237,7.92,8.085,61790.0
2026-02-19 14:00:00+00:00,8.085,8.091,7.878,7.934,60534.0
2026-02-19 14:15:00+00:00,7.934,8.086,7.804,8.034,82946.0
2026-02-19 14:30:00+00:00,8.034,8.191,8.011,8.107,47447.0
2026-02-19 14:45:00+00:00,8.107,8.234,8.002,8.129,45855.0
2026-02-19 15:00:00+00:00,8.129,8.344,8.063,8.196,52252.0
2026-02-19 15:15:00+00:00,8.196,8.243,8.026,8.109,34562.0
2026-02-19 15:30:00+00:00,8.109,8.196,8.065,8.192,24063.0
2026-02-19 15:45:00+00:00,8.192,8.209,8.066,8.108,19244.0
2026-02-19 16:00:00+00:00,8.108,8.111,7.921,7.973,45757.0
2026-02-19 16:15:00+00:00,7.973,8.228,7.95,8.204,37970.0
2026-02-19 16:30:00+00:00,8.204,8.343,8.176,8.244,48994.0
2026-02-19 16:45:00+00:00,8.244,8.255,8.12,8.136,26510.0
2026-02-19 17:00:00+00:00,8.136,8.14,8.066,8.1,32647.0
2026-02-19 17:15:00+00:00,8.1,8.216,8.012,8.016,25585.0
2026-02-19 17:30:00+00:00,8.016,8.075,7.951,7.979,24261.0
2026-02-19 17:45:00+00:00,7.979,8.091,7.966,8.087,15495.0
2026-02-19 18:00:00+00:00,8.087,8.295,8.086,8.247,39740.0
2026-02-19 18:15:00+00:00,8.247,8.388,8.21,8.35,33006.0
2026-02-19 18:30:00+00:00,8.35,8.386,8.228,8.277,40342.0
2026-02-19 18:45:00+00:00,8.277,8.457,8.272,8.422,23418.0
2026-02-19 19:00:00+00:00,8.422,8.575,8.363,8.377,45212.0
2026-02-19 19:15:00+00:00,8.377,8.467,8.297,8.417,15714.0
2026-02-19 19:30:00+00:00,8.417,8.449,8.284,8.331,16671.0
2026-02-19 19:45:00+00:00,8.331,8.439,8.3,8.392,11265.0
2026-02-19 20:00:00+00:00,8.392,8.392,8.18,8.303,36444.0
2026-02-19 20:15:00+00:00,8.303,8.351,8.184,8.225,19748.0
2026-02-19 20:30:00+00:00,8.225,8.286,8.196,8.263,12462.0
2026-02-19 20:45:00+00:00,8.263,8.4,8.25,8.385,24858.0
2026-02-19 21:00:00+00:00,8.385,8.57,8.383,8.523,33044.0
2026-02-19 21:15:00+00:00,8.523,8.576,8.404,8.418,31150.0
2026-02-19 21:30:00+00:00,8.418,8.458,8.378,8.401,17230.0
2026-02-19 21:45:00+00:00,8.401,8.471,8.227,8.293,30081.0
2026-02-19 22:00:00+00:00,8.293,8.377,8.246,8.336,21076.0
2026-02-19 22:15:00+00:00,8.336,8.336,8.114,8.159,26541.0
2026-02-19 22:30:00+00:00,8.159,8.159,8.083,8.116,15399.0
2026-02-19 22:45:00+00:00,8.116,8.226,8.042,8.219,37515.0
2026-02-19 23:00:00+00:00,8.219,8.257,8.063,8.18,24129.0
2026-02-19 23:15:00+00:00,8.18,8.421,8.137,8.402,39236.0
2026-02-19 23:30:00+00:00,8.402,8.432,8.295,8.325,14583.0
2026-02-19 23:45:00+00:00,8.325,8.359,8.241,8.27,11998.0
2026-02-20 00:00:00+00:00,8.27,8.314,8.137,8.163,23794.0
2026-02-20 00:15:00+00:00,8.163,8.211,8.105,8.198,24102.0
2026-02-20 00:30:00+00:00,8.198,8.244,8.124,8.241,20419.0
2026-02-20 00:45:00+00:00,8.241,8.292,8.159,8.272,27775.0
2026-02-20 01:00:00+00:00,8.272,8.272,8.063,8.066,19964.0
2026-02-20 01:15:00+00:00,8.066,8.133,8.01,8.109,19637.0
2026-02-20 01:30:00+00:00,8.109,8.116,8.013,8.029,10802.0
2026-02-20 01:45:00+00:00,8.029,8.061,7.851,8.026,61321.0
2026-02-20 02:00:00+00:00,8.026,8.182,8.026,8.147,33262.0
2026-02-20 02:15:00+00:00,8.147,8.168,8.062,8.102,13875.0
2026-02-20 02:30:00+00:00,8.102,8.145,8.036,8.115,14321.0
2026-02-20 02:45:00+00:00,8.115,8.15,8.052,8.109,12403.0
2026-02-20 03:00:00+00:00,8.109,8.214,8.103,8.109,20125.0
2026-02-20 03:15:00+00:00,8.109,8.134,8.054,8.09,17660.0
2026-02-20 03:30:00+00:00,8.09,8.092,7.984,8.016,19766.0
2026-02-20 03:45:00+00:00,8.016,8.032,7.94,8.028,18969.0
2026-02-20 04:00:00+00:00,8.028,8.028,7.913,7.976,29014.0
2026-02-20 04:15:00+00:00,7.976,8.124,7.937,8.096,27368.0
2026-02-20 04:30:00+00:00,8.096,8.173,8.057,8.083,24450.0
2026-02-20 04:45:00+00:00,8.083,8.188,8.073,8.182,23436.0
2026-02-20 05:00:00+00:00,8.182,8.313,8.18,8.228,28008.0
2026-02-20 05:15:00+00:00,8.228,8.246,8.102,8.133,23281.0
2026-02-20 05:30:00+00:00,8.133,8.35,8.129,8.31,25300.0
2026-02-20 05:45:00+00:00,8.31,8.467,8.31,8.335,26559.0
2026-02-20 06:00:00+00:00,8.335,8.354,8.152,8.184,30202.0
2026-02-20 06:15:00+00:00,8.184,8.205,8.133,8.184,14438.0
2026-02-20 06:30:00+00:00,8.184,8.245,8.178,8.178,14360.0
2026-02-20 06:45:00+00:00,8.178,8.317,8.14,8.26,23971.0
2026-02-20 07:00:00+00:00,8.26,8.351,8.22,8.311,22677.0
2026-02-20 07:15:00+00:00,8.311,8.347,8.17,8.183,21593.0
2026-02-20 07:30:00+00:00,8.183,8.197,7.874,7.956,66333.0
2026-02-20 07:45:00+00:00,7.956,8.052,7.713,8.052,98798.0
2026-02-20 08:00:00+00:00,8.052,8.081,7.916,8.056,39619.0
2026-02-20 08:15:00+00:00,8.056,8.068,7.941,7.993,27553.0
2026-02-20 08:30:00+00:00,7.993,8.063,7.965,7.972,31128.0
2026-02-20 08:45:00+00:00,7.972,8.099,7.968,8.069,18628.0
2026-02-20 09:00:00+00:00,8.069,8.105,8.012,8.096,13698.0
2026-02-20 09:15:00+00:00,8.096,8.188,8.073,8.152,31383.0
2026-02-20 09:30:00+00:00,8.152,8.223,8.086,8.22,25556.0
2026-02-20 09:45:00+00:00,8.22,8.262,8.173,8.247,18886.0
2026-02-20 10:00:00+00:00,8.247,8.428,8.161,8.215,70797.0
2026-02-20 10:15:00+00:00,8.215,8.221,8.033,8.05,49194.0
2026-02-20 10:30:00+00:00,8.05,8.089,7.953,7.988,48133.0
2026-02-20 10:45:00+00:00,7.988,7.996,7.874,7.904,61291.0
2026-02-20 11:00:00+00:00,7.904,7.908,7.603,7.769,99593.0
2026-02-20 11:15:00+00:00,7.769,7.888,7.763,7.872,32861.0
2026-02-20 11:30:00+00:00,7.872,7.937,7.729,7.91,39972.0
2026-02-20 11:45:00+00:00,7.91,7.969,7.876,7.883,24414.0
2026-02-20 12:00:00+00:00,7.883,7.998,7.858,7.948,31076.0
2026-02-20 12:15:00+00:00,7.948,7.96,7.77,7.796,32059.0
2026-02-20 12:30:00+00:00,7.796,7.84,7.513,7.612,74452.0
2026-02-20 12:45:00+00:00,7.612,7.657,7.58,7.647,58113.0
2026-02-20 13:00:00+00:00,7.647,7.729,7.616,7.727,36427.0
2026-02-20 13:15:00+00:00,7.727,7.77,7.627,7.758,29171.0
2026-02-20 13:30:00+00:00,7.758,7.864,7.682,7.836,44433.0
2026-02-20 13:45:00+00:00,7.836,7.864,7.734,7.737,24031.0
2026-02-20 14:00:00+00:00,7.737,7.914,7.72,7.896,19202.0
2026-02-20 14:15:00+00:00,7.896,7.927,7.815,7.848,29862.0
2026-02-20 14:30:00+00:00,7.848,7.942,7.776,7.899,21514.0
2026-02-20 14:45:00+00:00,7.899,7.987,7.822,7.846,30491.0
2026-02-20 15:00:00+00:00,7.846,7.963,7.781,7.819,47863.0
2026-02-20 15:15:00+00:00,7.819,7.901,7.751,7.855,63188.0
2026-02-20 15:30:00+00:00,7.855,7.954,7.841,7.948,32600.0
2026-02-20 15:45:00+00:00,7.948,8.065,7.922,8.007,26838.0
2026-02-20 16:00:00+00:00,8.007,8.08,7.972,8.055,22450.0
2026-02-20 16:15:00+00:00,8.055,8.094,7.965,7.966,15455.0
2026-02-20 16:30:00+00:00,7.966,8.007,7.911,7.981,18343.0
2026-02-20 16:45:00+00:00,7.981,8.113,7.965,8.044,20611.0
2026-02-20 17:00:00+00:00,8.044,8.163,8.032,8.051,28140.0
2026-02-20 17:15:00+00:00,8.051,8.193,8.047,8.096,16577.0
2026-02-20 17:30:00+00:00,8.096,8.163,8.065,8.119,15163.0
2026-02-20 17:45:00+00:00,8.119,8.218,8.107,8.163,15868.0
2026-02-20 18:00:00+00:00,8.163,8.246,8.098,8.131,15482.0
2026-02-20 18:15:00+00:00,8.131,8.178,8.07,8.149,17751.0
2026-02-20 18:30:00+00:00,8.149,8.175,8.082,8.113,10031.0
2026-02-20 18:45:00+00:00,8.113,8.147,8.067,8.075,9778.0
2026-02-20 19:00:00+00:00,8.075,8.082,7.976,8.016,20770.0
2026-02-20 19:15:00+00:00,8.016,8.065,7.983,8.041,8384.0
2026-02-20 19:30:00+00:00,8.041,8.183,8.039,8.147,14062.0
2026-02-20 19:45:00+00:00,8.147,8.17,8.114,8.153,5371.0
2026-02-20 20:00:00+00:00,8.153,8.155,8.038,8.052,11570.0
2026-02-20 20:15:00+00:00,8.052,8.054,7.961,7.998,16122.0
2026-02-20 20:30:00+00:00,7.998,8.137,7.998,8.125,9772.0
2026-02-20 20:45:00+00:00,8.125,8.225,8.11,8.184,21207.0
2026-02-20 21:00:00+00:00,8.184,8.226,8.077,8.11,14209.0
2026-02-20 21:15:00+00:00,8.11,8.208,8.098,8.2,14773.0
2026-02-20 21:30:00+00:00,8.2,8.22,8.17,8.211,8000.0
2026-02-20 21:45:00+00:00,8.211,8.238,8.152,8.191,14367.0
2026-02-20 22:00:00+00:00,8.191,8.38,8.191,8.292,38608.0
2026-02-20 22:15:00+00:00,8.292,8.302,8.22,8.282,20410.0
2026-02-20 22:30:00+00:00,8.282,8.3,8.036,8.095,33499.0
2026-02-20 22:45:00+00:00,8.095,8.181,8.068,8.174,17274.0
2026-02-20 23:00:00+00:00,8.174,8.21,8.1,8.128,7236.0
2026-02-20 23:15:00+00:00,8.128,8.128,8.002,8.091,12892.0
2026-02-20 23:30:00+00:00,8.091,8.11,7.997,8.043,8963.0
2026-02-20 23:45:00+00:00,8.043,8.093,8.031,8.031,7266.0
2026-02-21 00:00:00+00:00,8.031,8.051,7.975,8.026,12672.0
2026-02-21 00:15:00+00:00,8.026,8.041,7.947,7.956,10399.0
2026-02-21 00:30:00+00:00,7.956,7.966,7.904,7.941,13002.0
2026-02-21 00:45:00+00:00,7.941,7.973,7.805,7.844,34455.0
2026-02-21 01:00:00+00:00,7.844,7.914,7.83,7.897,15446.0
2026-02-21 01:15:00+00:00,7.897,7.941,7.841,7.935,11849.0
2026-02-21 01:30:00+00:00,7.935,7.987,7.884,7.953,11160.0
2026-02-21 01:45:00+00:00,7.953,7.989,7.936,7.96,9841.0
2026-02-21 02:00:00+00:00,7.96,7.972,7.874,7.884,12960.0
2026-02-21 02:15:00+00:00,7.884,8.028,7.884,7.998,21058.0
2026-02-21 02:30:00+00:00,7.998,8.074,7.998,8.019,18365.0
2026-02-21 02:45:00+00:00,8.019,8.069,8.019,8.047,8072.0
2026-02-21 03:00:00+00:00,8.047,8.144,8.045,8.119,12233.0
2026-02-21 03:15:00+00:00,8.119,8.133,8.074,8.106,5644.0
2026-02-21 03:30:00+00:00,8.106,8.197,8.093,8.181,14090.0
2026-02-21 03:45:00+00:00,8.181,8.212,8.167,8.186,9926.0
2026-02-21 04:00:00+00:00,8.186,8.254,8.185,8.238,10966.0
2026-02-21 04:15:00+00:00,8.238,8.26,8.186,8.225,14458.0
2026-02-21 04:30:00+00:00,8.225,8.318,8.221,8.271,15791.0
2026-02-21 04:45:00+00:00,8.271,8.343,8.211,8.232,20210.0
2026-02-21 05:00:00+00:00,8.232,8.35,8.169,8.325,25882.0
2026-02-21 05:15:00+00:00,8.325,8.375,8.278,8.303,29398.0
2026-02-21 05:30:00+00:00,8.303,8.371,8.273,8.32,9776.0
2026-02-21 05:45:00+00:00,8.32,8.538,8.32,8.436,50957.0
2026-02-21 06:00:00+00:00,8.436,8.618,8.423,8.571,34279.0
2026-02-21 06:15:00+00:00,8.571,8.584,8.362,8.382,31145.0
2026-02-21 06:30:00+00:00,8.382,8.45,8.296,8.408,27248.0
2026-02-21 06:45:00+00:00,8.408,8.453,8.33,8.399,25831.0
2026-02-21 07:00:00+00:00,8.399,8.406,8.235,8.274,25846.0
2026-02-21 07:15:00+00:00,8.274,8.281,8.181,8.275,21635.0
2026-02-21 07:30:00+00:00,8.275,8.345,8.195,8.237,22188.0
2026-02-21 08:00:00+00:00,8.336,8.469,8.306,8.399,25687.0
2026-02-21 08:15:00+00:00,8.399,8.455,8.361,8.442,12395.0
2026-02-21 08:30:00+00:00,8.442,8.533,8.394,8.45,17460.0
2026-02-21 08:45:00+00:00,8.45,8.537,8.377,8.478,25693.0
2026-02-21 09:00:00+00:00,8.478,8.48,8.393,8.469,14221.0
2026-02-21 09:15:00+00:00,8.469,8.476,8.39,8.422,10094.0
2026-02-21 09:30:00+00:00,8.422,8.455,8.31,8.336,28190.0
2026-02-21 09:45:00+00:00,8.336,8.422,8.275,8.336,25728.0
2026-02-21 10:00:00+00:00,8.336,8.336,8.235,8.312,12765.0
2026-02-21 10:15:00+00:00,8.312,8.325,8.247,8.28,10687.0
2026-02-21 10:30:00+00:00,8.28,8.339,8.211,8.259,12191.0
2026-02-21 10:45:00+00:00,8.259,8.282,8.201,8.266,11756.0
2026-02-21 11:00:00+00:00,8.266,8.325,8.21,8.255,12288.0
2026-02-21 11:15:00+00:00,8.255,8.286,8.225,8.253,7723.0
2026-02-21 11:30:00+00:00,8.253,8.264,8.134,8.193,29226.0
2026-02-21 11:45:00+00:00,8.193,8.211,8.148,8.188,8215.0
2026-02-21 12:00:00+00:00,8.188,8.265,8.162,8.257,20209.0
2026-02-21 12:15:00+00:00,8.257,8.298,8.2,8.225,13462.0
2026-02-21 12:30:00+00:00,8.225,8.29,8.161,8.285,11899.0
2026-02-21 12:45:00+00:00,8.285,8.294,8.241,8.283,12333.0
2026-02-21 13:00:00+00:00,8.283,8.426,8.283,8.347,24609.0
2026-02-21 13:15:00+00:00,8.347,8.413,8.322,8.367,16398.0
2026-02-21 13:30:00+00:00,8.367,8.38,8.287,8.336,14009.0
2026-02-21 13:45:00+00:00,8.336,8.401,8.194,8.255,32254.0
2026-02-21 14:00:00+00:00,8.255,8.27,8.166,8.193,17414.0
2026-02-21 14:15:00+00:00,8.193,8.268,8.177,8.19,10403.0
2026-02-21 14:30:00+00:00,8.19,8.199,8.02,8.1,51121.0
2026-02-21 14:45:00+00:00,8.1,8.157,8.043,8.094,21999.0
2026-02-21 15:00:00+00:00,8.094,8.176,8.094,8.147,10755.0
2026-02-21 15:15:00+00:00,8.147,8.208,8.122,8.203,11107.0
2026-02-21 15:30:00+00:00,8.203,8.244,8.095,8.157,31261.0
2026-02-21 15:45:00+00:00,8.157,8.255,8.08,8.211,19294.0
2026-02-21 16:00:00+00:00,8.211,8.297,8.188,8.265,16739.0
2026-02-21 16:15:00+00:00,8.265,8.392,8.22,8.254,39053.0
2026-02-21 16:30:00+00:00,8.254,8.322,8.214,8.294,11240.0
2026-02-21 16:45:00+00:00,8.294,8.347,8.27,8.308,4186.0
2026-02-21 17:00:00+00:00,8.308,8.358,8.295,8.319,6660.0
2026-02-21 17:15:00+00:00,8.319,8.329,8.256,8.265,8320.0
2026-02-21 17:30:00+00:00,8.265,8.35,8.262,8.326,9185.0
2026-02-21 17:45:00+00:00,8.326,8.354,8.313,8.323,3337.0
2026-02-21 18:00:00+00:00,8.323,8.351,8.26,8.269,9085.0
2026-02-21 18:15:00+00:00,8.269,8.303,8.194,8.213,11571.0
2026-02-21 18:30:00+00:00,8.213,8.222,8.104,8.134,16043.0
