open_time,open,high,low,close,volume
2026-02-19 06:15:00+00:00,3.409,3.419,3.406,3.418,4912.2
2026-02-19 06:30:00+00:00,3.418,3.427,3.417,3.417,4173.7
2026-02-19 06:45:00+00:00,3.417,3.424,3.415,3.42,1954.2
2026-02-19 07:00:00+00:00,3.42,3.451,3.417,3.437,77180.9
2026-02-19 07:15:00+00:00,3.437,3.456,3.433,3.45,12203.9
2026-02-19 07:30:00+00:00,3.45,3.46,3.441,3.444,44494.4
2026-02-19 07:45:00+00:00,3.444,3.444,3.436,3.442,6352.8
2026-02-19 08:00:00+00:00,3.442,3.442,3.393,3.397,34650.3
2026-02-19 08:15:00+00:00,3.397,3.4,3.382,3.386,24396.8
2026-02-19 08:30:00+00:00,3.386,3.4,3.373,3.393,51394.4
2026-02-19 08:45:00+00:00,3.393,3.414,3.392,3.404,14111.6
2026-02-19 09:00:00+00:00,3.404,3.413,3.401,3.41,29341.6
2026-02-19 09:15:00+00:00,3.41,3.433,3.402,3.429,18049.1
2026-02-19 09:30:00+00:00,3.429,3.434,3.418,3.42,6520.8
2026-02-19 09:45:00+00:00,3.42,3.422,3.404,3.41,22377.9
2026-02-19 10:00:00+00:00,3.41,3.413,3.399,3.409,6764.5
2026-02-19 10:15:00+00:00,3.409,3.416,3.406,3.408,3414.3
2026-02-19 10:30:00+00:00,3.408,3.415,3.405,3.412,2050.3
2026-02-19 10:45:00+00:00,3.412,3.414,3.4,3.405,7925.5
2026-02-19 11:00:00+00:00,3.405,3.407,3.397,3.407,1758.2
2026-02-19 11:15:00+00:00,3.407,3.43,3.407,3.422,6011.8
2026-02-19 11:30:00+00:00,3.422,3.425,3.4,3.404,17117.4
2026-02-19 11:45:00+00:00,3.404,3.408,3.4,3.403,9165.1
2026-02-19 12:00:00+00:00,3.403,3.422,3.401,3.415,11563.2
2026-02-19 12:15:00+00:00,3.415,3.418,3.409,3.418,3057.0
2026-02-19 12:30:00+00:00,3.418,3.419,3.404,3.409,3494.2
2026-02-19 12:45:00+00:00,3.409,3.409,3.388,3.396,12061.1
2026-02-19 13:00:00+00:00,3.396,3.406,3.387,3.401,12811.6
2026-02-19 13:15:00+00:00,3.401,3.402,3.383,3.386,15035.1
2026-02-19 13:30:00+00:00,3.386,3.397,3.377,3.39,20222.7
2026-02-19 13:45:00+00:00,3.39,3.4,3.364,3.39,115643.9
2026-02-19 14:00:00+00:00,3.39,3.408,3.39,3.403,20114.2
2026-02-19 14:15:00+00:00,3.403,3.407,3.39,3.401,7192.1
2026-02-19 14:30:00+00:00,3.401,3.422,3.387,3.409,46978.1
2026-02-19 14:45:00+00:00,3.409,3.426,3.404,3.411,33916.2
2026-02-19 15:00:00+00:00,3.411,3.425,3.384,3.386,42053.1
2026-02-19 15:15:00+00:00,3.386,3.403,3.386,3.395,11557.9
2026-02-19 15:30:00+00:00,3.395,3.414,3.392,3.403,11943.0
2026-02-19 15:45:00+00:00,3.403,3.407,3.386,3.396,49013.4
2026-02-19 16:00:00+00:00,3.396,3.407,3.386,3.399,16470.9
2026-02-19 16:15:00+00:00,3.399,3.421,3.387,3.387,14400.3
2026-02-19 16:30:00+00:00,3.387,3.406,3.387,3.394,7494.3
2026-02-19 16:45:00+00:00,3.394,3.395,3.383,3.392,13426.4
2026-02-19 17:00:00+00:00,3.392,3.443,3.392,3.439,20985.1
2026-02-19 17:15:00+00:00,3.439,3.46,3.43,3.43,16759.2
2026-02-19 17:30:00+00:00,3.43,3.433,3.408,3.409,5583.3
2026-02-19 17:45:00+00:00,3.409,3.411,3.391,3.404,11333.4
2026-02-19 18:00:00+00:00,3.404,3.417,3.396,3.416,8304.9
2026-02-19 18:15:00+00:00,3.416,3.427,3.405,3.425,22703.9
2026-02-19 18:30:00+00:00,3.425,3.447,3.425,3.443,34803.1
2026-02-19 18:45:00+00:00,3.443,3.447,3.431,3.436,25402.0
2026-02-19 19:00:00+00:00,3.436,3.445,3.429,3.43,17578.6
2026-02-19 19:15:00+00:00,3.43,3.43,3.406,3.41,19344.5
2026-02-19 19:30:00+00:00,3.41,3.41,3.388,3.391,19541.1
2026-02-19 19:45:00+00:00,3.391,3.413,3.384,3.409,12120.0
2026-02-19 20:00:00+00:00,3.409,3.415,3.403,3.408,9401.0
2026-02-19 20:15:00+00:00,3.408,3.409,3.396,3.405,7300.9
2026-02-19 20:30:00+00:00,3.405,3.406,3.386,3.391,5656.7
2026-02-19 20:45:00+00:00,3.391,3.404,3.391,3.399,6646.1
2026-02-19 21:00:00+00:00,3.399,3.405,3.399,3.404,4999.3
2026-02-19 21:15:00+00:00,3.404,3.409,3.401,3.407,4946.3
2026-02-19 21:30:00+00:00,3.407,3.412,3.4,3.405,3211.4
2026-02-19 21:45:00+00:00,3.405,3.405,3.399,3.401,2684.4
2026-02-19 22:00:00+00:00,3.401,3.415,3.401,3.409,5034.5
2026-02-19 22:15:00+00:00,3.409,3.411,3.398,3.4,1740.8
2026-02-19 22:30:00+00:00,3.4,3.402,3.394,3.398,1885.9
2026-02-19 22:45:00+00:00,3.398,3.407,3.398,3.406,7803.3
2026-02-19 23:00:00+00:00,3.406,3.412,3.402,3.411,8309.4
2026-02-19 23:15:00+00:00,3.411,3.422,3.41,3.419,4992.2
2026-02-19 23:30:00+00:00,3.419,3.42,3.416,3.419,1901.2
2026-02-19 23:45:00+00:00,3.419,3.42,3.414,3.416,6055.9
2026-02-20 00:00:00+00:00,3.416,3.431,3.414,3.424,17127.9
2026-02-20 00:15:00+00:00,3.424,3.438,3.422,3.437,13356.6
2026-02-20 00:30:00+00:00,3.437,3.438,3.434,3.438,6105.7
2026-02-20 00:45:00+00:00,3.438,3.458,3.436,3.455,13241.8
2026-02-20 01:00:00+00:00,3.455,3.463,3.451,3.455,12971.0
2026-02-20 01:15:00+00:00,3.455,3.459,3.44,3.441,5965.9
2026-02-20 01:30:00+00:00,3.441,3.45,3.438,3.45,5832.6
2026-02-20 01:45:00+00:00,3.45,3.467,3.446,3.467,7839.8
2026-02-20 02:00:00+00:00,3.467,3.468,3.459,3.46,2688.7
2026-02-20 02:15:00+00:00,3.46,3.475,3.458,3.469,3928.2
2026-02-20 02:30:00+00:00,3.469,3.469,3.458,3.463,6192.2
2026-02-20 02:45:00+00:00,3.463,3.469,3.448,3.449,10184.4
2026-02-20 03:00:00+00:00,3.449,3.461,3.448,3.46,3046.7
2026-02-20 03:15:00+00:00,3.46,3.506,3.46,3.506,25667.0
2026-02-20 03:30:00+00:00,3.506,3.527,3.495,3.514,88319.2
2026-02-20 03:45:00+00:00,3.514,3.543,3.509,3.521,32270.1
2026-02-20 04:00:00+00:00,3.521,3.535,3.505,3.527,36037.3
2026-02-20 04:15:00+00:00,3.527,3.533,3.507,3.524,17840.5
2026-02-20 04:30:00+00:00,3.524,3.541,3.524,3.536,14580.4
2026-02-20 04:45:00+00:00,3.536,3.55,3.514,3.54,49935.8
2026-02-20 05:00:00+00:00,3.54,3.546,3.498,3.516,51199.7
2026-02-20 05:15:00+00:00,3.516,3.516,3.489,3.498,13835.6
2026-02-20 05:30:00+00:00,3.498,3.521,3.498,3.519,19421.4
2026-02-20 05:45:00+00:00,3.519,3.529,3.511,3.517,14280.7
2026-02-20 06:00:00+00:00,3.517,3.524,3.507,3.508,21092.6
2026-02-20 06:15:00+00:00,3.508,3.515,3.506,3.514,13870.3
2026-02-20 06:30:00+00:00,3.514,3.524,3.509,3.51,8827.7
2026-02-20 06:45:00+00:00,3.51,3.524,3.51,3.513,9731.2
2026-02-20 07:00:00+00:00,3.513,3.515,3.506,3.51,7135.0
2026-02-20 07:15:00+00:00,3.51,3.514,3.499,3.505,7227.1
2026-02-20 07:30:00+00:00,3.505,3.518,3.495,3.5,24726.2
2026-02-20 07:45:00+00:00,3.5,3.526,3.499,3.52,36930.8
2026-02-20 08:00:00+00:00,3.52,3.526,3.512,3.514,17147.6
2026-02-20 08:15:00+00:00,3.514,3.534,3.513,3.523,5469.3
2026-02-20 08:30:00+00:00,3.523,3.541,3.51,3.535,27190.4
2026-02-20 08:45:00+00:00,3.535,3.545,3.526,3.531,32509.3
2026-02-20 09:00:00+00:00,3.531,3.622,3.531,3.618,246575.5
2026-02-20 09:15:00+00:00,3.618,3.697,3.615,3.647,281176.4
2026-02-20 09:30:00+00:00,3.647,3.732,3.647,3.672,169552.6
2026-02-20 09:45:00+00:00,3.672,3.683,3.629,3.681,75077.8
2026-02-20 10:00:00+00:00,3.681,3.698,3.651,3.667,82506.3
2026-02-20 10:15:00+00:00,3.667,3.756,3.667,3.752,210591.3
2026-02-20 10:30:00+00:00,3.752,3.802,3.715,3.749,204708.6
2026-02-20 10:45:00+00:00,3.749,3.782,3.72,3.762,98230.7
2026-02-20 11:00:00+00:00,3.762,3.772,3.667,3.678,176882.6
2026-02-20 11:15:00+00:00,3.678,3.687,3.641,3.671,280699.5
2026-02-20 11:30:00+00:00,3.671,3.728,3.669,3.701,164898.7
2026-02-20 11:45:00+00:00,3.701,3.742,3.7,3.708,93667.7
2026-02-20 12:00:00+00:00,3.708,3.709,3.622,3.659,166672.4
2026-02-20 12:15:00+00:00,3.659,3.67,3.637,3.638,57881.2
2026-02-20 12:30:00+00:00,3.638,3.653,3.627,3.637,52838.4
2026-02-20 12:45:00+00:00,3.637,3.653,3.607,3.626,121508.2
2026-02-20 13:00:00+00:00,3.626,3.626,3.583,3.589,177761.4
2026-02-20 13:15:00+00:00,3.589,3.61,3.555,3.568,227655.4
2026-02-20 13:30:00+00:00,3.568,3.574,3.493,3.497,310969.5
2026-02-20 13:45:00+00:00,3.497,3.5,3.455,3.476,230944.1
2026-02-20 14:00:00+00:00,3.476,3.497,3.469,3.493,40931.3
2026-02-20 14:15:00+00:00,3.493,3.501,3.484,3.486,27198.5
2026-02-20 14:30:00+00:00,3.486,3.509,3.466,3.488,132731.7
2026-02-20 14:45:00+00:00,3.488,3.499,3.476,3.49,43932.1
2026-02-20 15:00:00+00:00,3.49,3.552,3.482,3.482,183498.7
2026-02-20 15:15:00+00:00,3.482,3.534,3.482,3.525,46454.1
2026-02-20 15:30:00+00:00,3.525,3.536,3.497,3.515,48174.4
2026-02-20 15:45:00+00:00,3.515,3.565,3.513,3.564,57400.8
2026-02-20 16:00:00+00:00,3.564,3.572,3.545,3.551,50650.3
2026-02-20 16:15:00+00:00,3.551,3.557,3.539,3.54,62892.7
2026-02-20 16:30:00+00:00,3.54,3.543,3.521,3.531,22000.1
2026-02-20 16:45:00+00:00,3.531,3.547,3.529,3.543,15007.2
2026-02-20 17:00:00+00:00,3.543,3.544,3.485,3.488,48593.5
2026-02-20 17:15:00+00:00,3.488,3.497,3.483,3.485,34267.4
2026-02-20 17:30:00+00:00,3.485,3.517,3.478,3.516,26596.6
2026-02-20 17:45:00+00:00,3.516,3.569,3.513,3.568,92098.7
2026-02-20 18:00:00+00:00,3.568,3.573,3.554,3.556,25627.5
2026-02-20 18:15:00+00:00,3.556,3.56,3.546,3.553,10595.9
2026-02-20 18:30:00+00:00,3.553,3.583,3.549,3.559,29599.8
2026-02-20 18:45:00+00:00,3.559,3.579,3.552,3.57,33740.8
2026-02-20 19:00:00+00:00,3.57,3.57,3.553,3.557,12676.8
2026-02-20 19:15:00+00:00,3.557,3.565,3.55,3.553,11466.3
2026-02-20 19:30:00+00:00,3.553,3.574,3.553,3.555,13742.7
2026-02-20 19:45:00+00:00,3.555,3.562,3.554,3.561,11524.4
2026-02-20 20:00:00+00:00,3.561,3.569,3.556,3.562,5614.8
2026-02-20 20:15:00+00:00,3.562,3.562,3.548,3.548,10297.2
2026-02-20 20:30:00+00:00,3.548,3.555,3.535,3.551,25075.0
2026-02-20 20:45:00+00:00,3.551,3.558,3.541,3.549,6238.2
2026-02-20 21:00:00+00:00,3.549,3.558,3.544,3.553,15538.8
2026-02-20 21:15:00+00:00,3.553,3.554,3.549,3.551,5110.9
2026-02-20 21:30:00+00:00,3.551,3.561,3.544,3.555,6456.0
2026-02-20 21:45:00+00:00,3.555,3.561,3.554,3.555,1883.7
2026-02-20 22:00:00+00:00,3.555,3.555,3.544,3.547,5681.3
2026-02-20 22:15:00+00:00,3.547,3.563,3.541,3.56,18513.0
2026-02-20 22:30:00+00:00,3.56,3.57,3.545,3.552,65253.5
2026-02-20 22:45:00+00:00,3.552,3.572,3.551,3.564,52128.7
2026-02-20 23:00:00+00:00,3.564,3.587,3.563,3.579,20571.8
2026-02-20 23:15:00+00:00,3.579,3.581,3.57,3.574,6354.6
2026-02-20 23:30:00+00:00,3.574,3.574,3.552,3.571,12569.4
2026-02-20 23:45:00+00:00,3.571,3.574,3.561,3.568,21389.6
2026-02-21 00:00:00+00:00,3.568,3.569,3.538,3.541,9402.0
2026-02-21 00:15:00+00:00,3.541,3.543,3.527,3.529,20322.4
2026-02-21 00:30:00+00:00,3.529,3.531,3.5,3.507,31292.2
2026-02-21 00:45:00+00:00,3.507,3.513,3.505,3.507,7455.0
2026-02-21 01:00:00+00:00,3.507,3.532,3.507,3.532,14214.0
2026-02-21 01:15:00+00:00,3.532,3.532,3.521,3.522,27754.8
2026-02-21 01:30:00+00:00,3.522,3.536,3.519,3.536,6113.6
2026-02-21 01:45:00+00:00,3.536,3.536,3.526,3.53,4630.8
2026-02-21 02:00:00+00:00,3.53,3.535,3.529,3.532,7480.5
2026-02-21 02:15:00+00:00,3.532,3.543,3.529,3.536,7536.6
2026-02-21 02:30:00+00:00,3.536,3.554,3.536,3.539,13241.0
2026-02-21 02:45:00+00:00,3.539,3.544,3.532,3.541,4741.6
2026-02-21 03:00:00+00:00,3.541,3.545,3.527,3.531,9752.6
2026-02-21 03:15:00+00:00,3.531,3.531,3.513,3.529,84945.1
2026-02-21 03:30:00+00:00,3.529,3.533,3.523,3.526,4457.6
2026-02-21 03:45:00+00:00,3.526,3.536,3.526,3.535,2495.7
2026-02-21 04:00:00+00:00,3.535,3.535,3.522,3.522,10406.4
2026-02-21 04:15:00+00:00,3.522,3.524,3.51,3.524,14678.0
2026-02-21 04:30:00+00:00,3.524,3.53,3.523,3.524,11785.0
2026-02-21 04:45:00+00:00,3.524,3.526,3.518,3.52,3272.8
2026-02-21 05:00:00+00:00,3.52,3.522,3.504,3.51,15892.6
2026-02-21 05:15:00+00:00,3.51,3.516,3.505,3.516,12157.9
2026-02-21 05:30:00+00:00,3.516,3.526,3.516,3.521,9188.7
2026-02-21 05:45:00+00:00,3.521,3.523,3.517,3.52,3869.1
2026-02-21 06:00:00+00:00,3.52,3.524,3.517,3.518,4727.2
2026-02-21 06:15:00+00:00,3.518,3.524,3.512,3.516,5057.5
2026-02-21 06:30:00+00:00,3.516,3.516,3.504,3.513,5859.5
2026-02-21 06:45:00+00:00,3.513,3.513,3.504,3.504,3128.6
2026-02-21 07:00:00+00:00,3.504,3.51,3.501,3.51,5463.8
2026-02-21 07:15:00+00:00,3.51,3.515,3.51,3.511,2686.7
2026-02-21 07:30:00+00:00,3.511,3.513,3.503,3.513,3455.7
2026-02-21 07:45:00+00:00,3.513,3.518,3.512,3.516,3204.4
2026-02-21 08:00:00+00:00,3.516,3.523,3.51,3.516,7416.9
2026-02-21 08:30:00+00:00,3.513,3.518,3.508,3.516,7968.9
2026-02-21 08:45:00+00:00,3.516,3.525,3.511,3.523,16155.7
