open_time,open,high,low,close,volume
2026-02-19 05:45:00+00:00,411.67,411.74,411.33,411.35,40.72
2026-02-19 06:00:00+00:00,411.35,411.4,411.16,411.39,24.58
2026-02-19 06:15:00+00:00,411.39,411.4,411.22,411.23,56.64
2026-02-19 06:30:00+00:00,411.23,411.82,411.23,411.67,77.34
2026-02-19 06:45:00+00:00,411.67,412.87,411.67,411.97,165.6
2026-02-19 07:00:00+00:00,411.97,412.21,411.83,412.21,138.22
2026-02-19 07:15:00+00:00,412.21,412.72,412.15,412.69,51.63
2026-02-19 07:30:00+00:00,412.69,412.7,412.48,412.69,70.74
2026-02-19 07:45:00+00:00,412.69,412.69,412.07,412.07,92.94
2026-02-19 08:00:00+00:00,412.07,412.28,411.96,412.02,33.36
2026-02-19 08:15:00+00:00,412.02,412.1,411.84,412.04,60.5
2026-02-19 08:30:00+00:00,412.04,412.09,411.33,411.45,99.01
2026-02-19 08:45:00+00:00,411.45,411.45,410.91,410.97,58.03
2026-02-19 09:00:00+00:00,410.97,411.3,410.85,411.19,110.04
2026-02-19 09:15:00+00:00,411.19,411.34,410.9,411.01,104.38
2026-02-19 09:30:00+00:00,411.01,411.01,409.44,409.71,265.29
2026-02-19 09:45:00+00:00,409.71,409.71,408.48,409.5,448.69
2026-02-19 10:00:00+00:00,409.5,409.61,407.85,407.9,177.81
2026-02-19 10:15:00+00:00,407.9,408.24,407.55,407.58,138.87
2026-02-19 10:30:00+00:00,407.58,408.32,407.5,408.24,91.7
2026-02-19 10:45:00+00:00,408.24,408.61,408.14,408.27,235.28
2026-02-19 11:00:00+00:00,408.27,408.47,407.56,408.1,196.98
2026-02-19 11:15:00+00:00,408.1,408.41,408.06,408.24,67.05
2026-02-19 11:30:00+00:00,408.24,408.72,408.22,408.49,105.88
2026-02-19 11:45:00+00:00,408.49,408.67,408.24,408.67,86.45
2026-02-19 12:00:00+00:00,408.67,408.81,407.25,407.79,198.82
2026-02-19 12:15:00+00:00,407.79,408.86,407.74,408.65,51.88
2026-02-19 12:30:00+00:00,408.65,408.65,407.85,408.35,164.03
2026-02-19 12:45:00+00:00,408.35,408.35,407.77,407.77,429.38
2026-02-19 13:00:00+00:00,407.77,408.1,407.47,407.56,418.84
2026-02-19 13:15:00+00:00,407.56,407.68,407.11,407.58,358.11
2026-02-19 13:30:00+00:00,407.58,408.55,407.13,407.85,230.47
2026-02-19 13:45:00+00:00,407.85,408.38,407.64,407.73,100.36
2026-02-19 14:00:00+00:00,407.73,407.76,407.4,407.54,84.05
2026-02-19 14:15:00+00:00,407.54,408.14,407.2,407.35,165.72
2026-02-19 14:30:00+00:00,407.35,407.47,404.41,406.46,4475.79
2026-02-19 14:45:00+00:00,406.46,409.52,404.97,408.71,1575.15
2026-02-19 15:00:00+00:00,408.71,410.32,408.23,409.11,1598.16
2026-02-19 15:15:00+00:00,409.11,410.61,408.89,408.89,1216.07
2026-02-19 15:30:00+00:00,408.89,411.75,408.65,410.65,1299.74
2026-02-19 15:45:00+00:00,410.65,412.85,410.0,412.73,1386.09
2026-02-19 16:00:00+00:00,412.73,413.21,411.2,412.92,1083.82
2026-02-19 16:15:00+00:00,412.92,414.9,412.92,413.96,592.62
2026-02-19 16:30:00+00:00,413.96,414.71,413.33,413.36,449.71
2026-02-19 16:45:00+00:00,413.36,413.79,411.94,412.86,571.03
2026-02-19 17:00:00+00:00,412.86,413.88,412.47,413.62,524.49
2026-02-19 17:15:00+00:00,413.62,415.11,413.28,413.64,506.6
2026-02-19 17:30:00+00:00,413.64,413.74,412.47,412.47,228.92
2026-02-19 17:45:00+00:00,412.47,412.54,409.32,409.7,505.63
2026-02-19 18:00:00+00:00,409.7,410.44,408.79,410.34,330.54
2026-02-19 18:15:00+00:00,410.34,410.34,408.52,409.69,349.31
2026-02-19 18:30:00+00:00,409.69,409.89,408.62,409.32,77.47
2026-02-19 18:45:00+00:00,409.32,410.82,409.32,410.64,387.23
2026-02-19 19:00:00+00:00,410.64,411.08,409.59,409.71,398.62
2026-02-19 19:15:00+00:00,409.71,410.52,409.49,409.9,217.06
2026-02-19 19:30:00+00:00,409.9,410.39,408.87,409.0,141.39
2026-02-19 19:45:00+00:00,409.0,410.13,408.57,409.85,316.48
2026-02-19 20:00:00+00:00,409.85,411.11,409.85,411.0,272.58
2026-02-19 20:15:00+00:00,411.0,411.24,410.01,410.01,171.7
2026-02-19 20:30:00+00:00,410.01,410.96,409.89,410.69,266.51
2026-02-19 20:45:00+00:00,410.69,411.84,410.53,411.64,187.3
2026-02-19 21:00:00+00:00,411.64,411.78,411.08,411.55,167.98
2026-02-19 21:15:00+00:00,411.55,411.72,411.36,411.5,128.43
2026-02-19 21:30:00+00:00,411.5,411.6,411.42,411.54,36.44
2026-02-19 21:45:00+00:00,411.54,411.54,411.28,411.42,71.16
2026-02-19 22:00:00+00:00,411.42,411.59,411.42,411.44,116.96
2026-02-19 22:15:00+00:00,411.44,411.63,411.06,411.12,54.94
2026-02-19 22:30:00+00:00,411.12,411.55,411.12,411.46,55.53
2026-02-19 22:45:00+00:00,411.46,411.46,411.26,411.26,11.35
2026-02-19 23:00:00+00:00,411.26,411.78,411.12,411.2,61.84
2026-02-19 23:15:00+00:00,411.2,411.39,411.18,411.38,20.43
2026-02-19 23:30:00+00:00,411.38,411.8,411.35,411.55,41.92
2026-02-19 23:45:00+00:00,411.55,411.63,411.43,411.43,42.92
2026-02-20 00:00:00+00:00,411.43,411.63,411.39,411.61,51.5
2026-02-20 00:15:00+00:00,411.61,412.08,411.33,411.67,78.65
2026-02-20 00:30:00+00:00,411.67,412.02,411.41,411.82,77.44
2026-02-20 00:45:00+00:00,411.82,412.04,411.63,411.91,99.72
2026-02-20 01:00:00+00:00,411.91,413.81,411.63,413.43,422.48
2026-02-20 01:15:00+00:00,413.43,413.6,412.57,412.79,219.7
2026-02-20 01:30:00+00:00,412.79,412.79,411.71,411.97,200.16
2026-02-20 01:45:00+00:00,411.97,412.78,411.79,412.36,158.53
2026-02-20 02:00:00+00:00,412.36,412.87,412.25,412.29,62.42
2026-02-20 02:15:00+00:00,412.29,412.56,412.21,412.34,35.74
2026-02-20 02:30:00+00:00,412.34,412.69,412.34,412.48,34.95
2026-02-20 02:45:00+00:00,412.48,412.48,411.98,412.08,23.83
2026-02-20 03:00:00+00:00,412.08,412.27,412.08,412.14,11.76
2026-02-20 03:15:00+00:00,412.14,412.34,412.14,412.27,57.29
2026-02-20 03:30:00+00:00,412.27,412.36,411.89,411.96,117.55
2026-02-20 03:45:00+00:00,411.96,412.12,411.83,411.9,59.08
2026-02-20 04:00:00+00:00,411.9,412.32,411.66,412.26,176.95
2026-02-20 04:15:00+00:00,412.26,412.26,411.74,411.82,39.43
2026-02-20 04:30:00+00:00,411.82,412.18,411.82,412.11,84.49
2026-02-20 04:45:00+00:00,412.11,412.19,412.08,412.1,20.21
2026-02-20 05:00:00+00:00,412.1,412.27,412.02,412.13,72.76
2026-02-20 05:15:00+00:00,412.13,412.18,411.93,411.93,103.09
2026-02-20 05:30:00+00:00,411.93,412.38,411.93,412.29,59.81
2026-02-20 05:45:00+00:00,412.29,412.36,412.14,412.28,75.67
2026-02-20 06:00:00+00:00,412.28,412.37,412.17,412.25,36.22
2026-02-20 06:15:00+00:00,412.25,412.68,412.25,412.55,81.91
2026-02-20 06:30:00+00:00,412.55,412.58,412.5,412.55,11.25
2026-02-20 06:45:00+00:00,412.55,412.75,412.48,412.75,28.77
2026-02-20 07:00:00+00:00,412.75,412.95,412.7,412.92,50.0
2026-02-20 07:15:00+00:00,412.92,412.96,412.69,412.7,132.62
2026-02-20 07:30:00+00:00,412.7,412.75,412.43,412.48,25.37
2026-02-20 07:45:00+00:00,412.48,412.48,412.2,412.26,24.33
2026-02-20 08:00:00+00:00,412.26,412.77,412.26,412.4,80.41
2026-02-20 08:15:00+00:00,412.4,412.4,412.13,412.35,15.04
2026-02-20 08:30:00+00:00,412.35,412.41,412.06,412.13,11.27
2026-02-20 08:45:00+00:00,412.13,412.71,412.13,412.71,55.08
2026-02-20 09:00:00+00:00,412.71,413.1,412.35,412.96,309.06
2026-02-20 09:15:00+00:00,412.96,413.33,412.89,412.94,56.12
2026-02-20 09:30:00+00:00,412.94,413.08,412.62,412.7,88.45
2026-02-20 09:45:00+00:00,412.7,412.72,412.26,412.35,230.39
2026-02-20 10:00:00+00:00,412.35,412.47,412.18,412.27,185.79
2026-02-20 10:15:00+00:00,412.27,412.4,412.06,412.2,270.39
2026-02-20 10:30:00+00:00,412.2,412.38,412.02,412.18,39.71
2026-02-20 10:45:00+00:00,412.18,412.52,411.98,411.98,53.12
2026-02-20 11:00:00+00:00,411.98,411.98,411.08,411.41,273.97
2026-02-20 11:15:00+00:00,411.41,411.87,411.41,411.72,177.81
2026-02-20 11:30:00+00:00,411.72,411.73,411.34,411.48,206.31
2026-02-20 11:45:00+00:00,411.48,411.48,410.59,410.84,380.59
2026-02-20 12:00:00+00:00,410.84,411.54,410.41,411.54,61.4
2026-02-20 12:15:00+00:00,411.54,411.66,410.56,410.81,186.49
2026-02-20 12:30:00+00:00,410.81,411.0,410.44,410.94,64.87
2026-02-20 12:45:00+00:00,410.94,411.63,410.83,411.32,88.76
