open_time,open,high,low,close,volume
2026-02-19 06:15:00+00:00,3.69,3.819,3.683,3.764,43418.67
2026-02-19 06:30:00+00:00,3.764,3.792,3.747,3.79,8676.71
2026-02-19 06:45:00+00:00,3.79,3.811,3.773,3.776,13662.27
2026-02-19 07:00:00+00:00,3.776,3.786,3.739,3.771,9961.66
2026-02-19 07:15:00+00:00,3.771,3.787,3.728,3.741,7513.76
2026-02-19 07:30:00+00:00,3.741,3.751,3.708,3.718,11610.53
2026-02-19 07:45:00+00:00,3.718,3.726,3.686,3.69,4217.24
2026-02-19 08:00:00+00:00,3.69,3.692,3.65,3.654,14469.16
2026-02-19 08:15:00+00:00,3.654,3.664,3.628,3.633,11741.52
2026-02-19 08:30:00+00:00,3.633,3.703,3.633,3.689,23674.74
2026-02-19 08:45:00+00:00,3.689,3.731,3.67,3.729,12264.2
2026-02-19 09:00:00+00:00,3.729,3.745,3.703,3.712,15901.4
2026-02-19 09:15:00+00:00,3.712,3.745,3.712,3.745,4493.65
2026-02-19 09:30:00+00:00,3.745,3.788,3.722,3.732,40047.97
2026-02-19 09:45:00+00:00,3.732,3.738,3.694,3.726,5063.11
2026-02-19 10:00:00+00:00,3.726,3.728,3.687,3.699,12019.88
2026-02-19 10:15:00+00:00,3.699,3.724,3.666,3.675,18806.02
2026-02-19 10:30:00+00:00,3.675,3.696,3.657,3.657,13257.54
2026-02-19 10:45:00+00:00,3.657,3.657,3.583,3.61,98778.76
2026-02-19 11:00:00+00:00,3.61,3.692,3.609,3.692,20250.4
2026-02-19 11:15:00+00:00,3.692,3.749,3.692,3.719,24640.28
2026-02-19 11:30:00+00:00,3.719,3.769,3.687,3.746,9495.4
2026-02-19 11:45:00+00:00,3.746,3.766,3.697,3.699,6901.9
2026-02-19 12:00:00+00:00,3.699,3.709,3.673,3.674,10141.35
2026-02-19 12:15:00+00:00,3.674,3.704,3.654,3.692,17267.39
2026-02-19 12:30:00+00:00,3.692,3.741,3.687,3.731,20343.83
2026-02-19 12:45:00+00:00,3.731,3.78,3.69,3.765,17633.57
2026-02-19 13:00:00+00:00,3.765,3.778,3.667,3.699,16574.84
2026-02-19 13:15:00+00:00,3.699,3.724,3.693,3.714,8227.46
2026-02-19 13:30:00+00:00,3.714,3.751,3.685,3.716,25379.51
2026-02-19 13:45:00+00:00,3.716,3.758,3.707,3.726,7965.43
