open_time,open,high,low,close,volume
2026-02-19 05:45:00+00:00,78.03,78.08,77.9,77.98,6561.11
2026-02-19 06:00:00+00:00,77.98,78.15,77.96,78.09,2304.14
2026-02-19 06:15:00+00:00,78.09,78.17,78.02,78.17,4196.08
2026-02-19 06:30:00+00:00,78.17,78.67,78.17,78.61,19909.68
2026-02-19 06:45:00+00:00,78.61,78.97,78.61,78.86,16093.02
2026-02-19 07:00:00+00:00,78.86,79.18,78.86,79.01,15220.04
2026-02-19 07:15:00+00:00,79.01,79.26,78.95,79.16,6003.66
2026-02-19 07:30:00+00:00,79.16,79.19,79.06,79.11,9038.41
2026-02-19 07:45:00+00:00,79.11,79.15,78.82,78.92,11465.49
2026-02-19 08:00:00+00:00,78.92,78.96,78.66,78.96,12137.5
2026-02-19 08:15:00+00:00,78.96,79.39,78.94,79.34,16416.48
2026-02-19 08:30:00+00:00,79.34,79.34,79.18,79.31,8598.36
2026-02-19 08:45:00+00:00,79.31,79.53,79.13,79.21,14011.88
2026-02-19 09:00:00+00:00,79.21,79.32,79.1,79.29,4768.06
2026-02-19 09:15:00+00:00,79.29,79.32,78.77,78.78,11000.95
2026-02-19 09:30:00+00:00,78.78,78.91,78.41,78.82,27223.63
2026-02-19 09:45:00+00:00,78.82,78.87,78.59,78.62,6424.89
2026-02-19 10:00:00+00:00,78.62,78.63,78.17,78.29,33142.35
2026-02-19 10:15:00+00:00,78.29,78.61,78.23,78.36,10452.07
2026-02-19 10:30:00+00:00,78.36,78.59,78.18,78.41,14838.21
2026-02-19 10:45:00+00:00,78.41,78.57,78.34,78.5,5857.44
2026-02-19 11:00:00+00:00,78.5,78.66,78.36,78.45,7718.18
2026-02-19 11:15:00+00:00,78.45,78.52,77.9,78.08,30120.49
2026-02-19 11:30:00+00:00,78.08,78.25,77.98,78.08,12712.62
2026-02-19 11:45:00+00:00,78.08,78.15,77.33,77.94,31643.44
2026-02-19 12:00:00+00:00,77.94,77.99,77.41,77.74,19231.22
2026-02-19 12:15:00+00:00,77.74,78.01,77.59,77.99,9060.59
2026-02-19 12:30:00+00:00,77.99,78.16,77.82,78.13,14821.92
2026-02-19 12:45:00+00:00,78.13,78.28,78.0,78.1,14449.84
2026-02-19 13:00:00+00:00,78.1,78.11,77.53,77.82,22918.66
2026-02-19 13:15:00+00:00,77.82,78.16,77.67,78.01,15913.19
2026-02-19 13:30:00+00:00,78.01,78.38,77.68,78.3,22619.03
2026-02-19 13:45:00+00:00,78.3,78.5,78.24,78.39,8663.5
2026-02-19 14:00:00+00:00,78.39,78.39,77.65,77.71,24330.47
2026-02-19 14:15:00+00:00,77.71,78.08,77.66,78.03,17510.04
2026-02-19 14:30:00+00:00,78.03,78.03,77.01,77.82,76691.46
