open_time,open,high,low,close,volume
2026-02-19 05:45:00+00:00,1.4071,1.4127,1.4053,1.412,1857703.0
2026-02-19 06:00:00+00:00,1.412,1.4222,1.4113,1.4208,1790519.0
2026-02-19 06:15:00+00:00,1.4208,1.4246,1.4201,1.422,857396.0
2026-02-19 06:30:00+00:00,1.422,1.4255,1.4203,1.4206,929406.0
2026-02-19 06:45:00+00:00,1.4206,1.4268,1.4204,1.4268,893674.0
2026-02-19 07:00:00+00:00,1.4268,1.428,1.4211,1.4239,1056674.0
2026-02-19 07:15:00+00:00,1.4239,1.4333,1.4235,1.4311,1945708.0
2026-02-19 07:30:00+00:00,1.4311,1.437,1.4278,1.4305,5471651.0
2026-02-19 07:45:00+00:00,1.4305,1.4347,1.4271,1.4318,537203.0
2026-02-19 08:00:00+00:00,1.4318,1.4334,1.4244,1.4256,2162941.0
2026-02-19 08:15:00+00:00,1.4256,1.4259,1.4203,1.4222,887398.0
2026-02-19 08:30:00+00:00,1.4222,1.4229,1.4136,1.4168,4380566.0
2026-02-19 08:45:00+00:00,1.4168,1.4173,1.4143,1.4158,1204376.0
2026-02-19 09:00:00+00:00,1.4158,1.4194,1.4131,1.4184,1368720.0
2026-02-19 09:15:00+00:00,1.4184,1.4269,1.416,1.4238,2929588.0
2026-02-19 09:30:00+00:00,1.4238,1.4258,1.4223,1.4229,424928.0
2026-02-19 09:45:00+00:00,1.4229,1.4232,1.4136,1.4145,3081867.0
2026-02-19 10:00:00+00:00,1.4145,1.4159,1.4087,1.4132,2158873.0
2026-02-19 10:15:00+00:00,1.4132,1.4166,1.4132,1.4145,668529.0
2026-02-19 10:30:00+00:00,1.4145,1.4152,1.4098,1.4132,1023538.0
2026-02-19 10:45:00+00:00,1.4132,1.4137,1.4069,1.4103,1505351.0
2026-02-19 11:00:00+00:00,1.4103,1.416,1.4091,1.4154,789019.0
2026-02-19 11:15:00+00:00,1.4154,1.4163,1.4117,1.4119,690538.0
2026-02-19 11:30:00+00:00,1.4119,1.413,1.4072,1.4088,1280474.0
2026-02-19 11:45:00+00:00,1.4088,1.4104,1.4055,1.4088,2662454.0
2026-02-19 12:00:00+00:00,1.4088,1.4136,1.4081,1.4107,1326342.0
2026-02-19 12:15:00+00:00,1.4107,1.4132,1.4094,1.4123,637346.0
2026-02-19 12:30:00+00:00,1.4123,1.4126,1.4075,1.4077,860433.0
2026-02-19 12:45:00+00:00,1.4077,1.409,1.4046,1.4072,1836082.0
2026-02-19 13:00:00+00:00,1.4072,1.4085,1.4008,1.407,2759258.0
2026-02-19 13:15:00+00:00,1.407,1.4077,1.3949,1.3965,4268931.0
2026-02-19 13:30:00+00:00,1.3965,1.4003,1.3884,1.3899,4968777.0
2026-02-19 13:45:00+00:00,1.3899,1.3947,1.3854,1.3917,3166386.0
2026-02-19 14:00:00+00:00,1.3917,1.3991,1.3915,1.3972,1688704.0
2026-02-19 14:15:00+00:00,1.3972,1.3985,1.3911,1.3972,953383.0
2026-02-19 14:30:00+00:00,1.3972,1.4034,1.3889,1.401,3972805.0
2026-02-19 14:45:00+00:00,1.401,1.4045,1.3967,1.3998,3186906.0
2026-02-19 15:00:00+00:00,1.3998,1.409,1.3886,1.3898,5947264.0
2026-02-19 15:15:00+00:00,1.3898,1.3973,1.3861,1.3877,3496859.0
2026-02-19 15:30:00+00:00,1.3877,1.4025,1.3852,1.3977,4406893.0
2026-02-19 15:45:00+00:00,1.3977,1.4009,1.3903,1.3965,1606939.0
2026-02-19 16:00:00+00:00,1.3965,1.3965,1.3806,1.3853,5842236.0
2026-02-19 16:15:00+00:00,1.3853,1.3976,1.3846,1.3875,7205649.0
2026-02-19 16:30:00+00:00,1.3875,1.3968,1.3875,1.3935,2093077.0
2026-02-19 16:45:00+00:00,1.3935,1.3954,1.3877,1.3914,732694.0
2026-02-19 17:00:00+00:00,1.3914,1.4029,1.3906,1.4019,2622438.0
2026-02-19 17:15:00+00:00,1.4019,1.4127,1.4004,1.4031,3236264.0
2026-02-19 17:30:00+00:00,1.4031,1.4043,1.3979,1.4006,871777.0
2026-02-19 17:45:00+00:00,1.4006,1.4017,1.3898,1.3955,1713440.0
2026-02-19 18:00:00+00:00,1.3955,1.4036,1.3934,1.4028,1028224.0
2026-02-19 18:15:00+00:00,1.4028,1.4111,1.3985,1.4099,1364978.0
2026-02-19 18:30:00+00:00,1.4099,1.412,1.4033,1.4115,1116892.0
2026-02-19 18:45:00+00:00,1.4115,1.4131,1.4084,1.4125,836394.0
2026-02-19 19:00:00+00:00,1.4125,1.418,1.4098,1.4128,1195017.0
2026-02-19 19:15:00+00:00,1.4128,1.4131,1.4072,1.4086,696248.0
2026-02-19 19:30:00+00:00,1.4086,1.4102,1.4033,1.4063,1026912.0
2026-02-19 19:45:00+00:00,1.4063,1.4136,1.4039,1.4114,1644924.0
2026-02-19 20:00:00+00:00,1.4114,1.4121,1.4059,1.4075,782420.0
2026-02-19 20:15:00+00:00,1.4075,1.4075,1.4037,1.4056,684363.0
2026-02-19 20:30:00+00:00,1.4056,1.4085,1.4043,1.4074,215136.0
2026-02-19 20:45:00+00:00,1.4074,1.4142,1.4074,1.4102,1682139.0
2026-02-19 21:00:00+00:00,1.4102,1.4115,1.4085,1.4085,421098.0
2026-02-19 21:15:00+00:00,1.4085,1.4121,1.4078,1.4116,648976.0
2026-02-19 21:30:00+00:00,1.4116,1.4122,1.409,1.4093,285521.0
2026-02-19 21:45:00+00:00,1.4093,1.4102,1.4064,1.4073,325448.0
2026-02-19 22:00:00+00:00,1.4073,1.4099,1.4028,1.4088,1146869.0
2026-02-19 22:15:00+00:00,1.4088,1.4089,1.4023,1.4032,558421.0
2026-02-19 22:30:00+00:00,1.4032,1.4033,1.3966,1.3981,1665092.0
2026-02-19 22:45:00+00:00,1.3981,1.4025,1.3945,1.4001,1480564.0
2026-02-19 23:00:00+00:00,1.4001,1.4037,1.399,1.4008,760457.0
2026-02-19 23:15:00+00:00,1.4008,1.4061,1.4008,1.4053,561887.0
2026-02-19 23:30:00+00:00,1.4053,1.4075,1.4043,1.4073,337550.0
2026-02-19 23:45:00+00:00,1.4073,1.4089,1.4048,1.4058,564295.0
2026-02-20 00:00:00+00:00,1.4058,1.4128,1.4046,1.4127,762373.0
2026-02-20 00:15:00+00:00,1.4127,1.4211,1.4112,1.4203,3693624.0
2026-02-20 00:30:00+00:00,1.4203,1.4203,1.4164,1.4183,940941.0
2026-02-20 00:45:00+00:00,1.4183,1.4188,1.415,1.416,600399.0
2026-02-20 01:00:00+00:00,1.416,1.4196,1.4147,1.4192,425123.0
2026-02-20 01:15:00+00:00,1.4192,1.4198,1.4152,1.4172,454237.0
2026-02-20 01:30:00+00:00,1.4172,1.4237,1.4169,1.4223,841826.0
2026-02-20 01:45:00+00:00,1.4223,1.4246,1.4174,1.4245,981977.0
2026-02-20 02:00:00+00:00,1.4245,1.428,1.42,1.4217,1283686.0
2026-02-20 02:15:00+00:00,1.4217,1.4236,1.4193,1.4195,644140.0
2026-02-20 02:30:00+00:00,1.4195,1.4228,1.4194,1.4225,326767.0
2026-02-20 02:45:00+00:00,1.4225,1.4225,1.4168,1.4168,532934.0
2026-02-20 03:00:00+00:00,1.4168,1.4185,1.4145,1.4162,779752.0
2026-02-20 03:15:00+00:00,1.4162,1.4203,1.4143,1.4181,827674.0
2026-02-20 03:30:00+00:00,1.4181,1.4186,1.4123,1.4131,882988.0
2026-02-20 03:45:00+00:00,1.4131,1.4135,1.4103,1.4122,721593.0
2026-02-20 04:00:00+00:00,1.4122,1.4129,1.407,1.4073,1230673.0
2026-02-20 04:15:00+00:00,1.4073,1.4084,1.3994,1.4054,2230215.0
2026-02-20 04:30:00+00:00,1.4054,1.4114,1.4037,1.4114,1096203.0
2026-02-20 04:45:00+00:00,1.4114,1.4114,1.4082,1.4099,965516.0
2026-02-20 05:00:00+00:00,1.4099,1.4111,1.4068,1.4071,447794.0
2026-02-20 05:15:00+00:00,1.4071,1.4112,1.4041,1.41,916461.0
2026-02-20 05:30:00+00:00,1.41,1.4236,1.41,1.4202,3354938.0
2026-02-20 05:45:00+00:00,1.4202,1.4229,1.4166,1.4181,1404922.0
2026-02-20 06:00:00+00:00,1.4181,1.4193,1.4156,1.4163,617106.0
2026-02-20 06:15:00+00:00,1.4163,1.4207,1.4139,1.4139,1194103.0
2026-02-20 06:30:00+00:00,1.4139,1.4193,1.4121,1.4182,1052974.0
2026-02-20 06:45:00+00:00,1.4182,1.4208,1.4174,1.4192,450356.0
2026-02-20 07:00:00+00:00,1.4192,1.4199,1.4176,1.4188,408926.0
2026-02-20 07:15:00+00:00,1.4188,1.421,1.4187,1.4197,642879.0
2026-02-20 07:30:00+00:00,1.4197,1.421,1.4184,1.4194,315148.0
2026-02-20 07:45:00+00:00,1.4194,1.4225,1.4153,1.4189,1005912.0
2026-02-20 08:00:00+00:00,1.4189,1.4202,1.4168,1.4189,466669.0
2026-02-20 08:15:00+00:00,1.4189,1.4219,1.4156,1.4165,711882.0
2026-02-20 08:30:00+00:00,1.4165,1.4179,1.4129,1.4149,1304471.0
2026-02-20 08:45:00+00:00,1.4149,1.4187,1.4139,1.4178,397283.0
2026-02-20 09:00:00+00:00,1.4178,1.427,1.4174,1.4258,3969378.0
2026-02-20 09:15:00+00:00,1.4258,1.4282,1.4221,1.423,1770974.0
2026-02-20 09:30:00+00:00,1.423,1.4239,1.4206,1.4209,704679.0
2026-02-20 09:45:00+00:00,1.4209,1.423,1.4206,1.4222,519395.0
2026-02-20 10:00:00+00:00,1.4222,1.4267,1.4217,1.4231,683315.0
2026-02-20 10:15:00+00:00,1.4231,1.4266,1.4225,1.4252,1254023.0
2026-02-20 10:30:00+00:00,1.4252,1.4264,1.4222,1.4227,436161.0
2026-02-20 10:45:00+00:00,1.4227,1.423,1.4189,1.4201,1632388.0
2026-02-20 11:00:00+00:00,1.4201,1.4217,1.4154,1.4166,1617154.0
2026-02-20 11:15:00+00:00,1.4166,1.4173,1.4106,1.414,1731492.0
2026-02-20 11:30:00+00:00,1.414,1.4149,1.4036,1.4041,2281334.0
2026-02-20 11:45:00+00:00,1.4041,1.4074,1.4017,1.4046,1446764.0
2026-02-20 12:00:00+00:00,1.4046,1.4075,1.4026,1.4072,985666.0
2026-02-20 12:15:00+00:00,1.4072,1.4085,1.403,1.4046,934723.0
2026-02-20 12:30:00+00:00,1.4046,1.4072,1.4039,1.4041,632228.0
2026-02-20 12:45:00+00:00,1.4041,1.4082,1.4017,1.4042,2937628.0
2026-02-20 13:00:00+00:00,1.4042,1.4043,1.395,1.4008,7306640.0
2026-02-20 13:15:00+00:00,1.4008,1.4024,1.3962,1.401,1557266.0
2026-02-20 13:30:00+00:00,1.401,1.4017,1.3764,1.381,8124300.0
2026-02-20 13:45:00+00:00,1.381,1.3887,1.3791,1.3831,3275759.0
2026-02-20 14:00:00+00:00,1.3831,1.3909,1.3827,1.3892,3122639.0
2026-02-20 14:15:00+00:00,1.3892,1.3995,1.388,1.3968,4310265.0
2026-02-20 14:30:00+00:00,1.3968,1.407,1.394,1.4013,4825498.0
2026-02-20 14:45:00+00:00,1.4013,1.4038,1.3972,1.3994,1752365.0
2026-02-20 15:00:00+00:00,1.3994,1.4302,1.3992,1.4078,15481049.0
2026-02-20 15:15:00+00:00,1.4078,1.4256,1.4034,1.4218,3793111.0
2026-02-20 15:30:00+00:00,1.4218,1.4235,1.4084,1.4117,3378321.0
2026-02-20 15:45:00+00:00,1.4117,1.4291,1.4105,1.4282,2664579.0
2026-02-20 16:00:00+00:00,1.4282,1.4368,1.4258,1.4331,5524194.0
2026-02-20 16:15:00+00:00,1.4331,1.4384,1.4252,1.4288,7829718.0
2026-02-20 16:30:00+00:00,1.4288,1.4315,1.4226,1.4245,2811589.0
2026-02-20 16:45:00+00:00,1.4245,1.4363,1.4224,1.4318,1457942.0
2026-02-20 17:00:00+00:00,1.4318,1.4319,1.4111,1.4114,3698312.0
2026-02-20 17:15:00+00:00,1.4114,1.4146,1.407,1.4133,3150337.0
2026-02-20 17:30:00+00:00,1.4133,1.4223,1.4081,1.4198,1766819.0
2026-02-20 17:45:00+00:00,1.4198,1.431,1.4168,1.4288,5613876.0
2026-02-20 18:00:00+00:00,1.4288,1.432,1.4259,1.4286,2514059.0
2026-02-20 18:15:00+00:00,1.4286,1.4314,1.4253,1.4284,910965.0
2026-02-20 18:30:00+00:00,1.4284,1.4384,1.4226,1.431,5276768.0
2026-02-20 18:45:00+00:00,1.431,1.4351,1.4272,1.4322,2063063.0
2026-02-20 19:00:00+00:00,1.4322,1.4345,1.4255,1.4266,1130005.0
2026-02-20 19:15:00+00:00,1.4266,1.4294,1.424,1.4257,883648.0
2026-02-20 19:30:00+00:00,1.4257,1.4304,1.4212,1.4235,750440.0
2026-02-20 19:45:00+00:00,1.4235,1.4242,1.4204,1.423,671132.0
2026-02-20 20:00:00+00:00,1.423,1.4292,1.4221,1.4281,1347407.0
2026-02-20 20:15:00+00:00,1.4281,1.4281,1.4176,1.4183,874469.0
2026-02-20 20:30:00+00:00,1.4183,1.4223,1.4139,1.4219,902500.0
2026-02-20 20:45:00+00:00,1.4219,1.4233,1.416,1.4193,591791.0
2026-02-20 21:00:00+00:00,1.4193,1.4218,1.4172,1.4189,686501.0
2026-02-20 21:15:00+00:00,1.4189,1.4202,1.4175,1.4194,243386.0
2026-02-20 21:30:00+00:00,1.4194,1.4247,1.4179,1.4226,520400.0
2026-02-20 21:45:00+00:00,1.4226,1.423,1.4196,1.4212,432078.0
2026-02-20 22:00:00+00:00,1.4212,1.4215,1.4169,1.418,708446.0
2026-02-20 22:15:00+00:00,1.418,1.4285,1.4178,1.426,807047.0
2026-02-20 22:30:00+00:00,1.426,1.4289,1.422,1.4226,710160.0
2026-02-20 22:45:00+00:00,1.4226,1.4295,1.4226,1.4291,936143.0
2026-02-20 23:00:00+00:00,1.4291,1.4308,1.4248,1.4252,1770515.0
2026-02-20 23:15:00+00:00,1.4252,1.4288,1.4229,1.4286,513408.0
2026-02-20 23:30:00+00:00,1.4286,1.4291,1.425,1.426,333750.0
2026-02-20 23:45:00+00:00,1.426,1.4295,1.426,1.4285,241637.0
2026-02-21 00:00:00+00:00,1.4285,1.4289,1.424,1.4247,446497.0
2026-02-21 00:15:00+00:00,1.4247,1.4255,1.4233,1.4238,261243.0
2026-02-21 00:30:00+00:00,1.4238,1.4238,1.4192,1.4197,818288.0
2026-02-21 00:45:00+00:00,1.4197,1.4222,1.419,1.4222,479202.0
2026-02-21 01:00:00+00:00,1.4222,1.4271,1.4222,1.4271,595247.0
2026-02-21 01:15:00+00:00,1.4271,1.4275,1.4238,1.4249,371497.0
2026-02-21 01:30:00+00:00,1.4249,1.4309,1.4244,1.4303,953701.0
2026-02-21 01:45:00+00:00,1.4303,1.4321,1.4287,1.43,333117.0
2026-02-21 02:00:00+00:00,1.43,1.4312,1.4275,1.4293,312666.0
2026-02-21 02:15:00+00:00,1.4293,1.4327,1.4288,1.4311,284327.0
2026-02-21 02:30:00+00:00,1.4311,1.4329,1.4307,1.4328,439417.0
2026-02-21 02:45:00+00:00,1.4328,1.4328,1.4294,1.4295,433563.0
2026-02-21 03:00:00+00:00,1.4295,1.4299,1.4236,1.4261,1063561.0
2026-02-21 03:15:00+00:00,1.4261,1.4293,1.4257,1.4286,207410.0
2026-02-21 03:30:00+00:00,1.4286,1.43,1.4228,1.4236,1114898.0
2026-02-21 03:45:00+00:00,1.4236,1.4251,1.423,1.4251,375215.0
2026-02-21 04:00:00+00:00,1.4251,1.4264,1.4238,1.4258,275575.0
2026-02-21 04:15:00+00:00,1.4258,1.4274,1.4235,1.4262,357209.0
2026-02-21 04:30:00+00:00,1.4262,1.4292,1.4257,1.4262,290946.0
2026-02-21 04:45:00+00:00,1.4262,1.4282,1.425,1.4276,302187.0
2026-02-21 05:00:00+00:00,1.4276,1.4286,1.4269,1.4269,168701.0
2026-02-21 05:15:00+00:00,1.4269,1.4293,1.4269,1.4292,422140.0
2026-02-21 05:30:00+00:00,1.4292,1.4309,1.4282,1.4284,517983.0
2026-02-21 05:45:00+00:00,1.4284,1.4284,1.4257,1.4272,654244.0
2026-02-21 06:00:00+00:00,1.4272,1.4347,1.4272,1.4344,1467233.0
2026-02-21 06:15:00+00:00,1.4344,1.4347,1.4306,1.4306,1145332.0
2026-02-21 06:30:00+00:00,1.4306,1.4308,1.4275,1.4287,1052836.0
2026-02-21 06:45:00+00:00,1.4287,1.4298,1.4273,1.4288,404651.0
2026-02-21 07:00:00+00:00,1.4288,1.4307,1.427,1.4301,555879.0
2026-02-21 07:15:00+00:00,1.4301,1.4311,1.4291,1.4298,303348.0
2026-02-21 07:30:00+00:00,1.4298,1.4323,1.4297,1.4307,503017.0
2026-02-21 08:00:00+00:00,1.4305,1.4307,1.4268,1.4276,947728.0
2026-02-21 08:15:00+00:00,1.4276,1.4309,1.4272,1.4295,527157.0
2026-02-21 08:30:00+00:00,1.4295,1.433,1.4289,1.432,730992.0
2026-02-21 08:45:00+00:00,1.432,1.4348,1.4305,1.4332,841233.0
2026-02-21 09:00:00+00:00,1.4332,1.4346,1.4323,1.4325,1100348.0
2026-02-21 09:15:00+00:00,1.4325,1.4428,1.4325,1.4421,3468842.0
2026-02-21 09:30:00+00:00,1.4421,1.4455,1.4408,1.4411,2587634.0
2026-02-21 09:45:00+00:00,1.4411,1.442,1.4381,1.4388,1027750.0
2026-02-21 10:00:00+00:00,1.4388,1.4404,1.4361,1.437,877558.0
2026-02-21 10:15:00+00:00,1.437,1.4415,1.436,1.44,704011.0
2026-02-21 10:30:00+00:00,1.44,1.4418,1.4391,1.4408,471142.0
2026-02-21 10:45:00+00:00,1.4408,1.4408,1.438,1.4391,352173.0
2026-02-21 11:00:00+00:00,1.4391,1.4425,1.4375,1.4405,1386399.0
2026-02-21 11:15:00+00:00,1.4405,1.4442,1.4391,1.4427,1552201.0
2026-02-21 11:30:00+00:00,1.4427,1.444,1.4396,1.4439,1210944.0
2026-02-21 11:45:00+00:00,1.4439,1.4451,1.4417,1.4431,1098541.0
2026-02-21 12:00:00+00:00,1.4431,1.4447,1.4388,1.4389,2042138.0
2026-02-21 12:15:00+00:00,1.4389,1.4403,1.4367,1.4371,1096745.0
2026-02-21 12:30:00+00:00,1.4371,1.4378,1.4347,1.4367,1050090.0
2026-02-21 12:45:00+00:00,1.4367,1.4403,1.4367,1.4392,1135986.0
2026-02-21 13:00:00+00:00,1.4392,1.4404,1.4383,1.4399,904402.0
2026-02-21 13:15:00+00:00,1.4399,1.4426,1.4385,1.4385,805847.0
2026-02-21 13:30:00+00:00,1.4385,1.4409,1.4363,1.4379,809280.0
2026-02-21 13:45:00+00:00,1.4379,1.4476,1.4379,1.4469,1263847.0
2026-02-21 14:00:00+00:00,1.4469,1.4484,1.4439,1.4468,1332649.0
2026-02-21 14:15:00+00:00,1.4468,1.4594,1.4454,1.456,5380045.0
2026-02-21 14:30:00+00:00,1.456,1.4636,1.4549,1.4583,2471510.0
2026-02-21 14:45:00+00:00,1.4583,1.4631,1.4536,1.4543,1875435.0
2026-02-21 15:00:00+00:00,1.4543,1.4568,1.451,1.4537,2546167.0
2026-02-21 15:15:00+00:00,1.4537,1.4543,1.4478,1.4478,1246527.0
2026-02-21 15:30:00+00:00,1.4478,1.4562,1.4458,1.4552,1670659.0
2026-02-21 15:45:00+00:00,1.4552,1.4562,1.449,1.449,992791.0
2026-02-21 16:00:00+00:00,1.449,1.451,1.4428,1.4456,2081177.0
2026-02-21 16:15:00+00:00,1.4456,1.4466,1.4375,1.4421,2603515.0
2026-02-21 16:30:00+00:00,1.4421,1.4431,1.4387,1.442,1016995.0
2026-02-21 16:45:00+00:00,1.442,1.4434,1.4402,1.4409,312551.0
2026-02-21 17:00:00+00:00,1.4409,1.4421,1.4366,1.4402,801260.0
2026-02-21 17:15:00+00:00,1.4402,1.4404,1.4359,1.4373,461079.0
2026-02-21 17:30:00+00:00,1.4373,1.4418,1.4358,1.441,986166.0
2026-02-21 17:45:00+00:00,1.441,1.4422,1.4399,1.4413,437796.0
2026-02-21 18:00:00+00:00,1.4413,1.4441,1.4411,1.4424,583049.0
2026-02-21 18:15:00+00:00,1.4424,1.4463,1.4421,1.4437,851516.0
2026-02-21 18:30:00+00:00,1.4437,1.4476,1.4433,1.4475,442923.0
2026-02-21 18:45:00+00:00,1.4475,1.4492,1.4464,1.447,883865.0
2026-02-21 19:00:00+00:00,1.447,1.4475,1.4426,1.4442,394725.0
2026-02-21 19:15:00+00:00,1.4442,1.4443,1.4414,1.4434,366676.0
2026-02-21 19:30:00+00:00,1.4434,1.4482,1.4419,1.4449,294767.0
