trades,wins,losses,win_rate,profit_factor,net_profit_pct,max_drawdown_pct,expectancy_pct,avg_trade_pct,best_trade_pct,worst_trade_pct,strategy,symbol,interval,provider,candles,params,params_label,composite_score
386,116,270,30.1,0.45,-50.24,50.76,-0.18,-0.18,3.74,-1.96,gaussian_legacy,DOGEUSDT,15m,bitget,2000,"{""distance"": 1.0, ""length"": 20, ""mode"": ""AVG""}","distance=1.0, length=20, mode=AVG",-20.968
404,127,277,31.4,0.46,-51.82,52.42,-0.18,-0.18,2.52,-1.57,gaussian_legacy,SOLUSDT,15m,bitget,2000,"{""distance"": 1.0, ""length"": 20, ""mode"": ""AVG""}","distance=1.0, length=20, mode=AVG",-21.623
398,128,270,32.2,0.45,-52.95,53.23,-0.19,-0.19,3.1,-2.5,gaussian_legacy,ADAUSDT,15m,bitget,2000,"{""distance"": 1.0, ""length"": 20, ""mode"": ""AVG""}","distance=1.0, length=20, mode=AVG",-22.0755
417,130,287,31.2,0.51,-53.53,53.93,-0.18,-0.18,3.45,-2.25,gaussian_legacy,SUIUSDT,15m,bitget,2000,"{""distance"": 1.0, ""length"": 20, ""mode"": ""AVG""}","distance=1.0, length=20, mode=AVG",-22.2605
392,123,269,31.4,0.54,-56.52,57.3,-0.21,-0.21,3.14,-3.15,gaussian_legacy,TAOUSDT,15m,bitget,2000,"{""distance"": 1.0, ""length"": 20, ""mode"": ""AVG""}","distance=1.0, length=20, mode=AVG",-23.674
411,114,297,27.7,0.32,-55.99,56.27,-0.2,-0.2,1.89,-1.76,gaussian_legacy,BTCUSDT,15m,bitget,2000,"{""distance"": 1.0, ""length"": 20, ""mode"": ""AVG""}","distance=1.0, length=20, mode=AVG",-23.9035
399,110,289,27.6,0.37,-56.58,57.08,-0.21,-0.21,2.46,-2.89,gaussian_legacy,XRPUSDT,15m,bitget,2000,"{""distance"": 1.0, ""length"": 20, ""mode"": ""AVG""}","distance=1.0, length=20, mode=AVG",-24.137
397,108,289,27.2,0.25,-56.24,56.27,-0.21,-0.21,1.84,-1.26,gaussian_legacy,BNBUSDT,15m,bitget,2000,"{""distance"": 1.0, ""length"": 20, ""mode"": ""AVG""}","distance=1.0, length=20, mode=AVG",-24.146
406,119,287,29.3,0.46,-57.79,57.79,-0.21,-0.21,3.16,-2.06,gaussian_legacy,PEPEUSDT,15m,bitget,2000,"{""distance"": 1.0, ""length"": 20, ""mode"": ""AVG""}","distance=1.0, length=20, mode=AVG",-24.3335
393,130,263,33.1,0.55,-58.8,58.8,-0.22,-0.22,20.3,-4.18,gaussian_legacy,PIXELUSDT,15m,bitget,2000,"{""distance"": 1.0, ""length"": 20, ""mode"": ""AVG""}","distance=1.0, length=20, mode=AVG",-24.476
420,119,301,28.3,0.39,-59.31,59.99,-0.21,-0.21,3.09,-2.59,gaussian_legacy,SHIBUSDT,15m,bitget,2000,"{""distance"": 1.0, ""length"": 20, ""mode"": ""AVG""}","distance=1.0, length=20, mode=AVG",-25.3335
