trades,wins,losses,win_rate,profit_factor,net_profit_pct,max_drawdown_pct,expectancy_pct,avg_trade_pct,best_trade_pct,worst_trade_pct,strategy,symbol,interval,provider,candles,params,params_label,composite_score
57,27,30,47.37,2.27,13.92,7.16,0.415,0.415,5.31,-3.56,gaussian_v62_profile,BANANAS31USDT,15m,bitget,2000,{},base,9.3128
60,31,29,51.67,1.83,16.22,8.19,0.422,0.422,4.93,-4.54,gaussian_v62_profile,HUMAUSDT,15m,bitget,2000,{},base,8.9878
51,24,27,47.06,1.84,4.5,5.82,0.246,0.246,3.97,-2.24,gaussian_v62_profile,TAOUSDT,15m,bitget,2000,{},base,6.0154
40,21,19,52.5,2.22,5.42,5.37,0.29,0.29,2.28,-1.79,gaussian_v62_profile,SHIBUSDT,15m,bitget,2000,{},base,5.9208
56,29,27,51.79,1.94,3.18,6.7,0.25,0.25,6.71,-1.25,gaussian_v62_profile,ICXUSDT,15m,bitget,2000,{},base,5.9066
48,26,22,54.17,1.74,3.16,6.36,0.232,0.232,2.18,-2.47,gaussian_v62_profile,RENDERUSDT,15m,bitget,2000,{},base,5.4036
44,23,21,52.27,1.89,4.45,8.77,0.27,0.27,2.94,-2.22,gaussian_v62_profile,PEPEUSDT,15m,bitget,2000,{},base,5.077
11,8,3,72.73,8.83,3.31,0.84,0.448,0.448,1.37,-0.54,gaussian_v61_profile,AVAXUSDT,15m,bitget,2000,{},base,4.8674
11,8,3,72.73,8.83,3.31,0.84,0.448,0.448,1.37,-0.54,gaussian_v75_profile,AVAXUSDT,15m,bitget,2000,{},base,4.8674
46,24,22,52.17,1.64,2.18,5.34,0.215,0.215,2.99,-2.22,gaussian_v62_profile,SUIUSDT,15m,bitget,2000,{},base,4.8519
46,22,24,47.83,1.77,2.12,5.68,0.213,0.213,2.4,-2.47,gaussian_v62_profile,ADAUSDT,15m,bitget,2000,{},base,4.8513
11,8,3,72.73,7.45,9.01,1.22,0.944,0.944,2.22,-1.03,gaussian_v61_profile,PENGUUSDT,15m,bitget,2000,{},base,4.7753
11,8,3,72.73,7.45,9.01,1.22,0.944,0.944,2.22,-1.03,gaussian_v75_profile,PENGUUSDT,15m,bitget,2000,{},base,4.7753
34,21,13,61.76,2.09,3.94,7.34,0.29,0.29,1.91,-2.25,gaussian_v62_profile,WLDUSDT,15m,bitget,2000,{},base,4.5882
11,6,5,54.55,8.32,3.88,0.91,0.499,0.499,1.66,-0.45,gaussian_v61_profile,SHIBUSDT,15m,bitget,2000,{},base,4.5338
11,6,5,54.55,8.32,3.88,0.91,0.499,0.499,1.66,-0.45,gaussian_v75_profile,SHIBUSDT,15m,bitget,2000,{},base,4.5338
43,20,23,46.51,1.76,0.18,7.07,0.175,0.175,2.34,-1.66,gaussian_v62_profile,SOLUSDT,15m,bitget,2000,{},base,3.7508
16,10,6,62.5,3.29,6.42,2.98,0.547,0.547,2.9,-2.35,gaussian_v61_profile,DOGEUSDT,15m,bitget,2000,{},base,3.5786
16,10,6,62.5,3.29,6.42,2.98,0.547,0.547,2.9,-2.35,gaussian_v75_profile,DOGEUSDT,15m,bitget,2000,{},base,3.5786
15,9,6,60.0,3.75,4.25,2.4,0.431,0.431,2.18,-0.77,gaussian_v61_profile,RENDERUSDT,15m,bitget,2000,{},base,3.4034
15,9,6,60.0,3.75,4.25,2.4,0.431,0.431,2.18,-0.77,gaussian_v75_profile,RENDERUSDT,15m,bitget,2000,{},base,3.4034
7,5,2,71.43,66.75,1.58,0.39,0.376,0.376,1.42,-0.04,gaussian_v61_profile,ASTERUSDT,15m,bitget,2000,{},base,3.3497
7,5,2,71.43,66.75,1.58,0.39,0.376,0.376,1.42,-0.04,gaussian_v75_profile,ASTERUSDT,15m,bitget,2000,{},base,3.3497
44,21,23,47.73,1.5,2.48,11.53,0.23,0.23,2.94,-3.28,gaussian_v62_profile,ZECUSDT,15m,bitget,2000,{},base,3.2412
56,30,26,53.57,1.45,-1.38,8.81,0.14,0.14,2.07,-1.6,gaussian_v62_profile,XLMUSDT,15m,bitget,2000,{},base,3.2158
20,10,10,50.0,1.91,7.43,3.89,0.541,0.541,4.93,-3.75,gaussian_v61_profile,HUMAUSDT,15m,bitget,2000,{},base,3.1926
20,10,10,50.0,1.91,7.43,3.89,0.541,0.541,4.93,-3.75,gaussian_v75_profile,HUMAUSDT,15m,bitget,2000,{},base,3.1926
14,9,5,64.29,3.4,4.27,1.45,0.454,0.454,2.07,-0.87,gaussian_v61_profile,XLMUSDT,15m,bitget,2000,{},base,3.096
14,9,5,64.29,3.4,4.27,1.45,0.454,0.454,2.07,-0.87,gaussian_v75_profile,XLMUSDT,15m,bitget,2000,{},base,3.096
44,22,22,50.0,1.43,-0.83,7.81,0.147,0.147,2.9,-2.35,gaussian_v62_profile,DOGEUSDT,15m,bitget,2000,{},base,2.9784
25,11,14,44.0,2.04,1.84,5.83,0.318,0.318,6.71,-1.22,gaussian_v61_profile,ICXUSDT,15m,bitget,2000,{},base,2.885
25,11,14,44.0,2.04,1.84,5.83,0.318,0.318,6.71,-1.22,gaussian_v75_profile,ICXUSDT,15m,bitget,2000,{},base,2.885
14,7,7,50.0,3.04,6.94,4.45,0.657,0.657,4.73,-2.66,gaussian_v61_profile,ICPUSDT,15m,bitget,2000,{},base,2.8669
14,7,7,50.0,3.04,6.94,4.45,0.657,0.657,4.73,-2.66,gaussian_v75_profile,ICPUSDT,15m,bitget,2000,{},base,2.8669
11,6,5,54.55,4.14,5.5,1.62,0.645,0.645,2.33,-0.92,gaussian_v61_profile,DOTUSDT,15m,bitget,2000,{},base,2.8167
11,6,5,54.55,4.14,5.5,1.62,0.645,0.645,2.33,-0.92,gaussian_v75_profile,DOTUSDT,15m,bitget,2000,{},base,2.8167
