trades,wins,losses,win_rate,profit_factor,net_profit_pct,max_drawdown_pct,expectancy_pct,avg_trade_pct,best_trade_pct,worst_trade_pct,strategy,symbol,interval,provider,candles,params,params_label,composite_score
57,27,30,47.37,2.27,13.92,7.16,0.415,0.415,5.31,-3.56,gaussian_v62_profile,BANANAS31USDT,15m,bitget,2000,{},base,9.3128
60,31,29,51.67,1.83,16.22,8.19,0.422,0.422,4.93,-4.54,gaussian_v62_profile,HUMAUSDT,15m,bitget,2000,{},base,8.9878
51,24,27,47.06,1.84,4.5,5.82,0.246,0.246,3.97,-2.24,gaussian_v62_profile,TAOUSDT,15m,bitget,2000,{},base,6.0154
40,21,19,52.5,2.22,5.42,5.37,0.29,0.29,2.28,-1.79,gaussian_v62_profile,SHIBUSDT,15m,bitget,2000,{},base,5.9208
56,29,27,51.79,1.94,3.18,6.7,0.25,0.25,6.71,-1.25,gaussian_v62_profile,ICXUSDT,15m,bitget,2000,{},base,5.9066
48,26,22,54.17,1.74,3.16,6.36,0.232,0.232,2.18,-2.47,gaussian_v62_profile,RENDERUSDT,15m,bitget,2000,{},base,5.4036
44,23,21,52.27,1.89,4.45,8.77,0.27,0.27,2.94,-2.22,gaussian_v62_profile,PEPEUSDT,15m,bitget,2000,{},base,5.077
46,24,22,52.17,1.64,2.18,5.34,0.215,0.215,2.99,-2.22,gaussian_v62_profile,SUIUSDT,15m,bitget,2000,{},base,4.8519
46,22,24,47.83,1.77,2.12,5.68,0.213,0.213,2.4,-2.47,gaussian_v62_profile,ADAUSDT,15m,bitget,2000,{},base,4.8513
34,21,13,61.76,2.09,3.94,7.34,0.29,0.29,1.91,-2.25,gaussian_v62_profile,WLDUSDT,15m,bitget,2000,{},base,4.5882
43,20,23,46.51,1.76,0.18,7.07,0.175,0.175,2.34,-1.66,gaussian_v62_profile,SOLUSDT,15m,bitget,2000,{},base,3.7508
44,21,23,47.73,1.5,2.48,11.53,0.23,0.23,2.94,-3.28,gaussian_v62_profile,ZECUSDT,15m,bitget,2000,{},base,3.2412
56,30,26,53.57,1.45,-1.38,8.81,0.14,0.14,2.07,-1.6,gaussian_v62_profile,XLMUSDT,15m,bitget,2000,{},base,3.2158
44,22,22,50.0,1.43,-0.83,7.81,0.147,0.147,2.9,-2.35,gaussian_v62_profile,DOGEUSDT,15m,bitget,2000,{},base,2.9784
50,26,24,52.0,1.39,-1.23,12.33,0.133,0.133,2.31,-1.82,gaussian_v62_profile,OPUSDT,15m,bitget,2000,{},base,2.3525
54,23,31,42.59,1.34,-2.13,12.57,0.127,0.127,2.22,-2.68,gaussian_v62_profile,PENGUUSDT,15m,bitget,2000,{},base,1.5911
56,26,30,46.43,1.29,-3.82,10.46,0.096,0.096,1.57,-2.04,gaussian_v62_profile,ONDOUSDT,15m,bitget,2000,{},base,1.5822
55,26,29,47.27,1.24,-4.96,9.2,0.072,0.072,1.96,-1.65,gaussian_v62_profile,LINKUSDT,15m,bitget,2000,{},base,1.4348
51,25,26,49.02,1.22,-5.15,10.33,0.087,0.087,2.74,-2.29,gaussian_v62_profile,AAVEUSDT,15m,bitget,2000,{},base,1.2213
58,27,31,46.55,1.31,-1.72,16.46,0.131,0.131,4.73,-2.66,gaussian_v62_profile,ICPUSDT,15m,bitget,2000,{},base,1.022
45,22,23,48.89,1.11,-4.2,12.06,0.076,0.076,6.23,-5.94,gaussian_v62_profile,JCTUSDT,15m,bitget,2000,{},base,0.779
42,19,23,45.24,1.15,-2.56,14.25,0.136,0.136,5.19,-4.61,gaussian_v62_profile,KITEUSDT,15m,bitget,2000,{},base,0.7489
48,21,27,43.75,1.08,-6.36,8.84,0.024,0.024,2.09,-1.93,gaussian_v62_profile,XRPUSDT,15m,bitget,2000,{},base,0.576
50,25,25,50.0,1.13,-5.44,12.29,0.048,0.048,3.48,-2.34,gaussian_v62_profile,UNIUSDT,15m,bitget,2000,{},base,0.538
42,20,22,47.62,1.19,-2.95,16.04,0.109,0.109,3.54,-2.84,gaussian_v62_profile,FARTCOINUSDT,15m,bitget,2000,{},base,0.4681
52,27,25,51.92,1.1,-5.8,12.86,0.049,0.049,5.05,-6.15,gaussian_v62_profile,PIXELUSDT,15m,bitget,2000,{},base,0.3528
65,27,38,41.54,1.36,-7.71,12.83,0.094,0.094,6.72,-1.71,gaussian_v62_profile,OGNUSDT,15m,bitget,2000,{},base,0.0761
47,20,27,42.55,1.03,-7.18,9.69,0.01,0.01,2.27,-2.04,gaussian_v62_profile,ETHUSDT,15m,bitget,2000,{},base,0.0461
56,20,36,35.71,1.28,-3.45,16.47,0.107,0.107,5.14,-2.59,gaussian_v62_profile,DOTUSDT,15m,bitget,2000,{},base,0.0459
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,BTCUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,ETHUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,SOLUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,XRPUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,PIXELUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,HYPEUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,RIVERUSDT,15m,bitget,2000,{},base,0.0
