trades,wins,losses,win_rate,profit_factor,net_profit_pct,max_drawdown_pct,expectancy_pct,avg_trade_pct,best_trade_pct,worst_trade_pct,strategy,symbol,interval,provider,candles,params,params_label,composite_score
57,27,30,47.37,2.27,13.92,7.16,0.415,0.415,5.31,-3.56,gaussian_v62_profile,BANANAS31USDT,15m,bitget,2000,{},base,9.3128
60,31,29,51.67,1.83,16.22,8.19,0.422,0.422,4.93,-4.54,gaussian_v62_profile,HUMAUSDT,15m,bitget,2000,{},base,8.9878
51,24,27,47.06,1.84,4.5,5.82,0.246,0.246,3.97,-2.24,gaussian_v62_profile,TAOUSDT,15m,bitget,2000,{},base,6.0154
40,21,19,52.5,2.22,5.42,5.37,0.29,0.29,2.28,-1.79,gaussian_v62_profile,SHIBUSDT,15m,bitget,2000,{},base,5.9208
56,29,27,51.79,1.94,3.18,6.7,0.25,0.25,6.71,-1.25,gaussian_v62_profile,ICXUSDT,15m,bitget,2000,{},base,5.9066
48,26,22,54.17,1.74,3.16,6.36,0.232,0.232,2.18,-2.47,gaussian_v62_profile,RENDERUSDT,15m,bitget,2000,{},base,5.4036
44,23,21,52.27,1.89,4.45,8.77,0.27,0.27,2.94,-2.22,gaussian_v62_profile,PEPEUSDT,15m,bitget,2000,{},base,5.077
46,24,22,52.17,1.64,2.18,5.34,0.215,0.215,2.99,-2.22,gaussian_v62_profile,SUIUSDT,15m,bitget,2000,{},base,4.8519
46,22,24,47.83,1.77,2.12,5.68,0.213,0.213,2.4,-2.47,gaussian_v62_profile,ADAUSDT,15m,bitget,2000,{},base,4.8513
34,21,13,61.76,2.09,3.94,7.34,0.29,0.29,1.91,-2.25,gaussian_v62_profile,WLDUSDT,15m,bitget,2000,{},base,4.5882
43,20,23,46.51,1.76,0.18,7.07,0.175,0.175,2.34,-1.66,gaussian_v62_profile,SOLUSDT,15m,bitget,2000,{},base,3.7508
46,24,22,52.17,1.46,-0.97,5.87,0.149,0.149,2.62,-2.17,gaussian_v62_risk_profile,SUIUSDT,15m,bitget,2000,{},base,3.5772
44,21,23,47.73,1.5,2.48,11.53,0.23,0.23,2.94,-3.28,gaussian_v62_profile,ZECUSDT,15m,bitget,2000,{},base,3.2412
48,24,24,50.0,1.35,-2.73,7.54,0.111,0.111,1.79,-2.42,gaussian_v62_risk_profile,RENDERUSDT,15m,bitget,2000,{},base,2.6222
60,30,30,50.0,1.28,-0.99,10.67,0.148,0.148,4.18,-5.15,gaussian_v62_risk_profile,HUMAUSDT,15m,bitget,2000,{},base,2.4745
40,21,19,52.5,1.3,-2.96,6.08,0.082,0.082,1.42,-2.1,gaussian_v62_risk_profile,SHIBUSDT,15m,bitget,2000,{},base,2.3264
44,20,24,45.45,1.37,-2.78,10.79,0.105,0.105,1.87,-2.18,gaussian_v62_risk_profile,PEPEUSDT,15m,bitget,2000,{},base,1.6852
34,19,15,55.88,1.19,-4.18,10.36,0.069,0.069,1.8,-2.2,gaussian_v62_risk_profile,WLDUSDT,15m,bitget,2000,{},base,1.1126
46,21,25,45.65,1.16,-5.2,8.91,0.053,0.053,2.1,-2.42,gaussian_v62_risk_profile,ADAUSDT,15m,bitget,2000,{},base,1.0764
44,22,22,50.0,1.17,-4.38,12.37,0.072,0.072,2.35,-3.23,gaussian_v62_risk_profile,ZECUSDT,15m,bitget,2000,{},base,0.8052
43,18,25,41.86,1.02,-6.98,8.12,0.004,0.004,1.92,-1.84,gaussian_v62_risk_profile,SOLUSDT,15m,bitget,2000,{},base,0.3039
56,29,27,51.79,1.04,-7.63,9.97,0.011,0.011,1.74,-1.2,gaussian_v62_risk_profile,ICXUSDT,15m,bitget,2000,{},base,0.2721
51,23,28,45.1,1.02,-7.38,11.7,0.008,0.008,2.44,-2.23,gaussian_v62_risk_profile,TAOUSDT,15m,bitget,2000,{},base,-0.325
57,24,33,42.11,1.13,-8.55,17.48,0.048,0.048,4.18,-5.0,gaussian_v62_risk_profile,BANANAS31USDT,15m,bitget,2000,{},base,-1.5931
