trades,wins,losses,win_rate,profit_factor,net_profit_pct,max_drawdown_pct,expectancy_pct,avg_trade_pct,best_trade_pct,worst_trade_pct,strategy,symbol,interval,provider,candles,params,params_label,composite_score
51,24,27,47.06,1.84,4.5,5.82,0.246,0.246,3.97,-2.24,gaussian_v62_profile,TAOUSDT,15m,bitget,2000,{},base,6.0154
40,21,19,52.5,2.22,5.42,5.37,0.29,0.29,2.28,-1.79,gaussian_v62_profile,SHIBUSDT,15m,bitget,2000,{},base,5.9208
56,29,27,51.79,1.94,3.18,6.7,0.25,0.25,6.71,-1.25,gaussian_v62_profile,ICXUSDT,15m,bitget,2000,{},base,5.9066
44,23,21,52.27,1.89,4.45,8.77,0.27,0.27,2.94,-2.22,gaussian_v62_profile,PEPEUSDT,15m,bitget,2000,{},base,5.077
46,24,22,52.17,1.64,2.18,5.34,0.215,0.215,2.99,-2.22,gaussian_v62_profile,SUIUSDT,15m,bitget,2000,{},base,4.8519
46,22,24,47.83,1.77,2.12,5.68,0.213,0.213,2.4,-2.47,gaussian_v62_profile,ADAUSDT,15m,bitget,2000,{},base,4.8513
11,6,5,54.55,8.32,3.88,0.91,0.499,0.499,1.66,-0.45,gaussian_v61_profile,SHIBUSDT,15m,bitget,2000,{},base,4.5338
11,6,5,54.55,8.32,3.88,0.91,0.499,0.499,1.66,-0.45,gaussian_v75_profile,SHIBUSDT,15m,bitget,2000,{},base,4.5338
43,20,23,46.51,1.76,0.18,7.07,0.175,0.175,2.34,-1.66,gaussian_v62_profile,SOLUSDT,15m,bitget,2000,{},base,3.7508
16,10,6,62.5,3.29,6.42,2.98,0.547,0.547,2.9,-2.35,gaussian_v61_profile,DOGEUSDT,15m,bitget,2000,{},base,3.5786
16,10,6,62.5,3.29,6.42,2.98,0.547,0.547,2.9,-2.35,gaussian_v75_profile,DOGEUSDT,15m,bitget,2000,{},base,3.5786
44,21,23,47.73,1.5,2.48,11.53,0.23,0.23,2.94,-3.28,gaussian_v62_profile,ZECUSDT,15m,bitget,2000,{},base,3.2412
44,22,22,50.0,1.43,-0.83,7.81,0.147,0.147,2.9,-2.35,gaussian_v62_profile,DOGEUSDT,15m,bitget,2000,{},base,2.9784
25,11,14,44.0,2.04,1.84,5.83,0.318,0.318,6.71,-1.22,gaussian_v61_profile,ICXUSDT,15m,bitget,2000,{},base,2.885
25,11,14,44.0,2.04,1.84,5.83,0.318,0.318,6.71,-1.22,gaussian_v75_profile,ICXUSDT,15m,bitget,2000,{},base,2.885
14,7,7,50.0,3.04,6.94,4.45,0.657,0.657,4.73,-2.66,gaussian_v61_profile,ICPUSDT,15m,bitget,2000,{},base,2.8669
14,7,7,50.0,3.04,6.94,4.45,0.657,0.657,4.73,-2.66,gaussian_v75_profile,ICPUSDT,15m,bitget,2000,{},base,2.8669
5,2,3,40.0,19.57,1.85,0.54,0.52,0.52,2.13,-0.05,gaussian_v61_profile,HYPEUSDT,15m,bitget,2000,{},base,2.2994
5,2,3,40.0,19.57,1.85,0.54,0.52,0.52,2.13,-0.05,gaussian_v75_profile,HYPEUSDT,15m,bitget,2000,{},base,2.2994
10,6,4,60.0,3.92,2.63,1.19,0.414,0.414,1.44,-0.7,gaussian_v61_profile,SOLUSDT,15m,bitget,2000,{},base,2.2975
10,6,4,60.0,3.92,2.63,1.19,0.414,0.414,1.44,-0.7,gaussian_v75_profile,SOLUSDT,15m,bitget,2000,{},base,2.2975
9,5,4,55.56,3.69,3.62,1.84,0.557,0.557,3.97,-0.8,gaussian_v61_profile,TAOUSDT,15m,bitget,2000,{},base,2.0256
9,5,4,55.56,3.69,3.62,1.84,0.557,0.557,3.97,-0.8,gaussian_v75_profile,TAOUSDT,15m,bitget,2000,{},base,2.0256
9,5,4,55.56,3.57,2.95,2.26,0.48,0.48,2.99,-0.98,gaussian_v61_profile,SUIUSDT,15m,bitget,2000,{},base,1.9094
9,5,4,55.56,3.57,2.95,2.26,0.48,0.48,2.99,-0.98,gaussian_v75_profile,SUIUSDT,15m,bitget,2000,{},base,1.9094
55,26,29,47.27,1.24,-4.96,9.2,0.072,0.072,1.96,-1.65,gaussian_v62_profile,LINKUSDT,15m,bitget,2000,{},base,1.4348
14,6,8,42.86,1.53,-0.73,2.71,0.097,0.097,1.55,-0.6,gaussian_v61_profile,BNBUSDT,15m,bitget,2000,{},base,1.1883
14,6,8,42.86,1.53,-0.73,2.71,0.097,0.097,1.55,-0.6,gaussian_v75_profile,BNBUSDT,15m,bitget,2000,{},base,1.1883
10,4,6,40.0,1.93,1.32,3.5,0.289,0.289,2.66,-1.86,gaussian_v61_profile,PEPEUSDT,15m,bitget,2000,{},base,1.1336
